episode_idx	episode_id	outbound_success	return_success	round_trip_success	distance_to_start_m	outbound_stop_distance_to_goal_m	stop_events	relocalization_lines	relocalization_conf_mean	measurement_file	trajectory_file
4	7	True	False	False	7.576923370361328	1.532191276550293	1	0		eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep4/measurements/7.json	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep4/trajectories/output_7.jsonl
5	8	True	False	False	7.589373588562012	0.14081372320652008	1	294	0.8831484565719245	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep5/measurements/8.json	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep5/trajectories/output_8.jsonl
134	194	False	False	False	7.885754585266113		0	0		eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep134/measurements/194.json	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep134/trajectories/output_194.jsonl
187	280	True	False	False	14.207646369934082	0.21772167086601257	1	1460	0.8136817759790286	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep187/measurements/280.json	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep187/trajectories/output_280.jsonl
367	601	True	True	True	1.6056857109069824	1.0334663391113281	2	1553	0.998148260458361	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep367/measurements/601.json	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep367/trajectories/output_601.jsonl
368	602	True	False	False	7.742562294006348	0.4512883126735687	1	4878	0.8975641140447702	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep368/measurements/602.json	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep368/trajectories/output_602.jsonl
408	681	False	False	False	2.125422239303589		0	0		eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep408/measurements/681.json	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep408/trajectories/output_681.jsonl
678	1164	False	False	False	5.824161529541016		0	0		eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep678/measurements/1164.json	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep678/trajectories/output_1164.jsonl
680	1166	True	True	True	1.6557382345199585	0.3795335590839386	2	3	0.6661921977996828	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep680/measurements/1166.json	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep680/trajectories/output_1166.jsonl
994	1699	True	False	False	4.265197277069092	1.0399466753005981	2	0		eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep994/measurements/1699.json	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep994/trajectories/output_1699.jsonl
1040	1760	True	True	True	1.1235966682434082	0.9927946925163269	2	0		eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep1040/measurements/1760.json	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_loftr_depth_hard_20260628_ep1040/trajectories/output_1760.jsonl
