episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	vlm_port	start_time	end_time	exit_code	result_suffix	vlm_log	eval_log	measurement_file	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal	trajectory_record_count
106	152	QUCTc6BB5sX	993	1699	7	0.000	0.000	54427	2026-07-01T12:37:06+01:00	2026-07-01T12:42:49+01:00	0	oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep106	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep106_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep106_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep106/measurements/151.json	False	True	False	0.9882780909538269	9.569522857666016	5227
367	602	X7HyMhZNoso	1038	1759	7	0.000	5.793	54688	2026-07-01T12:42:49+01:00	2026-07-01T12:43:08+01:00	98	oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep367	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep367_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep367_eval.log							
613	1070	zsNo4HB9uLZ	678	1165	7	0.000	1.996	54934	2026-07-01T12:43:08+01:00	2026-07-01T12:45:13+01:00	0	oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep613	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep613_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep613_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep613/measurements/1069.json	False	True	False	2.0363361835479736	16.437881469726562	1627
133	194	2azQ1b91cZZ	756	1288	7	0.258	6.199	54454	2026-07-01T12:45:13+01:00	2026-07-01T12:47:49+01:00	0	oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep133	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep133_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep133_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep133/measurements/193.json	False	False	False	7.148135185241699	None	2502
198	307	TbHJrupSAjP	537	928	7	1.519	0.550	54519	2026-07-01T12:47:49+01:00	2026-07-01T12:51:32+01:00	0	oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep198	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep198_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep198_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep198/measurements/306.json	False	False	False	0.5619217753410339	None	2502
186	280	EU6Fwq7SyZv	447	754	6	0.433	3.561	54507	2026-07-01T12:51:32+01:00	2026-07-01T12:54:45+01:00	0	oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep186	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep186_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep186_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep186/measurements/279.json	False	False	False	3.5352940559387207	None	2502
4	8	x8F5xyUWy9e	354	583	5	0.000	10.151	54325	2026-07-01T12:54:45+01:00	2026-07-01T12:58:01+01:00	0	oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep4	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep4_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep4_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep4/measurements/7.json	True	True	True	1.1181279420852661	1.532191276550293	2727
336	547	Z6MFQCViBuw	651	1132	4	0.000	12.322	54657	2026-07-01T12:58:01+01:00	2026-07-01T13:00:51+01:00	0	oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep336	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep336_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep336_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep336/measurements/546.json	False	False	False	11.934688568115234	None	2502
408	682	oLBMNvg9in8	522	907	4	0.761	6.884	54729	2026-07-01T13:00:51+01:00	2026-07-01T13:03:03+01:00	0	oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep408	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep408_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep408_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep408/measurements/681.json	False	False	False	2.125422239303589	None	1666
107	153	QUCTc6BB5sX	993	1699	7	0.000	12.227	54428	2026-07-01T13:03:03+01:00	2026-07-01T13:05:42+01:00	0	oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep107	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep107_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/oracle_shadow_loftr_v4_30_return_anchor_fix_20260701/ep107_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_oracle_shadow_loftr_v4_30_return_anchor_fix_20260701_ep107/measurements/152.json	False	False	False	12.58765983581543	None	2502
