episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	vlm_port	start_time	end_time	exit_code	result_suffix	vlm_log	eval_log	measurement_file	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal	trajectory_record_count
4	8	x8F5xyUWy9e	354	583	5	0.000	10.151123046875	54325	2026-06-30T15:49:34+01:00	2026-06-30T15:52:34+01:00	0	stop_gate_r3_hint_arbiter_hard11_20260630_ep4	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep4_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep4_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_stop_gate_r3_hint_arbiter_hard11_20260630_ep4/measurements/7.json	True	True	True	0.8088256120681763	1.532191276550293	2877
5	9	x8F5xyUWy9e	354	583	5	0.000	8.5977783203125	54326	2026-06-30T15:52:34+01:00	2026-06-30T15:55:58+01:00	0	stop_gate_r3_hint_arbiter_hard11_20260630_ep5	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep5_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep5_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_stop_gate_r3_hint_arbiter_hard11_20260630_ep5/measurements/8.json	True	True	True	2.052431583404541	0.14081372320652008	3352
134	195	2azQ1b91cZZ	756	1288	7	0.258	6.222945690155029	54455	2026-06-30T15:55:58+01:00	2026-06-30T15:56:21+01:00	98	stop_gate_r3_hint_arbiter_hard11_20260630_ep134	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep134_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep134_eval.log							
187	281	EU6Fwq7SyZv	447	754	6	0.433	11.8126859664917	54508	2026-06-30T15:56:21+01:00	2026-06-30T16:01:39+01:00	0	stop_gate_r3_hint_arbiter_hard11_20260630_ep187	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep187_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep187_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_stop_gate_r3_hint_arbiter_hard11_20260630_ep187/measurements/280.json	True	True	True	2.7392778396606445	0.17963282763957977	5032
367	602	X7HyMhZNoso	1038	1759	7	0.000	5.792527675628662	54688	2026-06-30T16:01:39+01:00	2026-06-30T16:05:31+01:00	0	stop_gate_r3_hint_arbiter_hard11_20260630_ep367	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep367_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep367_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_stop_gate_r3_hint_arbiter_hard11_20260630_ep367/measurements/601.json	True	True	True	1.9207971096038818	2.4115841388702393	3852
368	603	X7HyMhZNoso	1038	1759	7	0.000	6.825916290283203	54689	2026-06-30T16:05:31+01:00	2026-06-30T16:09:47+01:00	0	stop_gate_r3_hint_arbiter_hard11_20260630_ep368	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep368_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep368_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_stop_gate_r3_hint_arbiter_hard11_20260630_ep368/measurements/602.json	True	True	True	1.854192852973938	0.4512883126735687	4502
408	682	oLBMNvg9in8	522	907	4	0.761	6.883718967437744	54729	2026-06-30T16:09:47+01:00	2026-06-30T16:11:59+01:00	0	stop_gate_r3_hint_arbiter_hard11_20260630_ep408	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep408_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep408_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_stop_gate_r3_hint_arbiter_hard11_20260630_ep408/measurements/681.json	False	False	False	2.125422239303589	None	1666
678	1165	zsNo4HB9uLZ	612	1069	7	0.000	3.781534194946289	54999	2026-06-30T16:11:59+01:00	2026-06-30T16:15:04+01:00	0	stop_gate_r3_hint_arbiter_hard11_20260630_ep678	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep678_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep678_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_stop_gate_r3_hint_arbiter_hard11_20260630_ep678/measurements/1164.json	False	False	False	6.065356731414795	None	2502
680	1167	zsNo4HB9uLZ	612	1069	7	0.000	3.7099010944366455	55001	2026-06-30T16:15:04+01:00	2026-06-30T16:15:21+01:00	98	stop_gate_r3_hint_arbiter_hard11_20260630_ep680	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep680_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep680_eval.log							
994	1700	QUCTc6BB5sX	105	151	7	0.000	4.521794319152832	55315	2026-06-30T16:15:21+01:00	2026-06-30T16:19:36+01:00	0	stop_gate_r3_hint_arbiter_hard11_20260630_ep994	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep994_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep994_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_stop_gate_r3_hint_arbiter_hard11_20260630_ep994/measurements/1699.json	True	True	True	1.1673530340194702	1.0399466753005981	4552
1040	1761	X7HyMhZNoso	366	601	7	0.000	2.415379762649536	55361	2026-06-30T16:19:36+01:00	2026-06-30T16:27:01+01:00	0	stop_gate_r3_hint_arbiter_hard11_20260630_ep1040	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep1040_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/stop_gate_r3_hint_arbiter_hard11_20260630/ep1040_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_stop_gate_r3_hint_arbiter_hard11_20260630_ep1040/measurements/1760.json	True	True	True	2.47465181350708	0.9927946925163269	7332
