episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	vlm_port	start_time	end_time	exit_code	result_suffix	vlm_log	eval_log	measurement_file	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal	trajectory_record_count
4	8	x8F5xyUWy9e	354	583	5	0.000	10.151123046875	54325	2026-06-29T16:26:33+01:00	2026-06-29T16:29:31+01:00	0	direct_oracle_align_yaw_hard_20260629_ep4	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep4_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep4_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_direct_oracle_align_yaw_hard_20260629_ep4/measurements/7.json	True	True	True	0.3780766427516937	1.532191276550293	2852
5	9	x8F5xyUWy9e	354	583	5	0.000	8.5977783203125	54326	2026-06-29T16:29:31+01:00	2026-06-29T16:32:52+01:00	0	direct_oracle_align_yaw_hard_20260629_ep5	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep5_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep5_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_direct_oracle_align_yaw_hard_20260629_ep5/measurements/8.json	True	True	True	2.2533247470855713	0.14081372320652008	3327
134	195	2azQ1b91cZZ	756	1288	7	0.258	6.222945690155029	54455	2026-06-29T16:32:52+01:00	2026-06-29T16:35:24+01:00	0	direct_oracle_align_yaw_hard_20260629_ep134	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep134_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep134_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_direct_oracle_align_yaw_hard_20260629_ep134/measurements/194.json	False	False	False	7.885754585266113	None	2502
187	281	EU6Fwq7SyZv	447	754	6	0.433	11.8126859664917	54508	2026-06-29T16:35:24+01:00	2026-06-29T16:39:32+01:00	0	direct_oracle_align_yaw_hard_20260629_ep187	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep187_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep187_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_direct_oracle_align_yaw_hard_20260629_ep187/measurements/280.json	True	False	False	7.6494903564453125	0.21772167086601257	3452
367	602	X7HyMhZNoso	1038	1759	7	0.000	5.792527675628662	54688	2026-06-29T16:39:32+01:00	2026-06-29T16:45:30+01:00	0	direct_oracle_align_yaw_hard_20260629_ep367	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep367_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep367_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_direct_oracle_align_yaw_hard_20260629_ep367/measurements/601.json	True	False	False	0.0	1.0334663391113281	6878
368	603	X7HyMhZNoso	1038	1759	7	0.000	6.825916290283203	54689	2026-06-29T16:45:30+01:00	2026-06-29T16:52:15+01:00	0	direct_oracle_align_yaw_hard_20260629_ep368	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep368_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep368_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_direct_oracle_align_yaw_hard_20260629_ep368/measurements/602.json	True	False	False	4.447409152984619	0.22687745094299316	7027
408	682	oLBMNvg9in8	522	907	4	0.761	6.883718967437744	54729	2026-06-29T16:52:15+01:00	2026-06-29T16:58:49+01:00	0	direct_oracle_align_yaw_hard_20260629_ep408	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep408_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep408_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_direct_oracle_align_yaw_hard_20260629_ep408/measurements/681.json	True	False	False	5.996370315551758	0.29214370250701904	6602
678	1165	zsNo4HB9uLZ	612	1069	7	0.000	3.781534194946289	54999	2026-06-29T16:58:49+01:00	2026-06-29T17:02:30+01:00	0	direct_oracle_align_yaw_hard_20260629_ep678	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep678_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep678_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_direct_oracle_align_yaw_hard_20260629_ep678/measurements/1164.json	True	True	True	2.824141502380371	0.4031160771846771	3977
680	1167	zsNo4HB9uLZ	612	1069	7	0.000	3.7099010944366455	55001	2026-06-29T17:02:30+01:00	2026-06-29T17:06:14+01:00	0	direct_oracle_align_yaw_hard_20260629_ep680	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep680_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep680_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_direct_oracle_align_yaw_hard_20260629_ep680/measurements/1166.json	True	True	True	1.2531683444976807	0.24814343452453613	4052
994	1700	QUCTc6BB5sX	105	151	7	0.000	4.521794319152832	55315	2026-06-29T17:06:14+01:00	2026-06-29T17:10:04+01:00	0	direct_oracle_align_yaw_hard_20260629_ep994	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep994_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/direct_oracle_align_yaw_hard_20260629/ep994_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_direct_oracle_align_yaw_hard_20260629_ep994/measurements/1699.json	True	False	False	4.4097771644592285	1.0399466753005981	4027
