episode_id	episode_idx	scene	total_decisions	override_count	override_rate_pct	vlm_action_consistent	occupied_in_local_map_path	target_too_close
8	4	x8F5xyUWy9e	37	2	5.4	17	18	0
9	5	x8F5xyUWy9e	76	0	0.0	32	44	0
31	18	x8F5xyUWy9e	71	0	0.0	4	67	0
32	19	x8F5xyUWy9e	10	0	0.0	4	6	0
33	20	x8F5xyUWy9e	17	5	29.4	7	5	0
126	86	zsNo4HB9uLZ	17	2	11.8	12	3	0
127	87	EU6Fwq7SyZv	27	2	7.4	19	6	0
128	88	EU6Fwq7SyZv	75	2	2.7	41	32	0
129	89	EU6Fwq7SyZv	17	12	70.6	5	0	0
141	95	2azQ1b91cZZ	25	6	24.0	18	1	0
143	97	QUCTc6BB5sX	13	0	0.0	0	13	0
286	189	2azQ1b91cZZ	26	6	23.1	18	0	2
314	205	2azQ1b91cZZ	72	29	40.3	30	2	11
359	226	TbHJrupSAjP	54	12	22.2	37	2	3
361	228	zsNo4HB9uLZ	20	0	0.0	10	10	0
366	233	2azQ1b91cZZ	13	1	7.7	11	0	1
418	264	zsNo4HB9uLZ	27	8	29.6	18	0	1
420	266	zsNo4HB9uLZ	26	7	26.9	18	0	1
422	268	QUCTc6BB5sX	86	22	25.6	52	0	12
442	276	EU6Fwq7SyZv	65	0	0.0	5	60	0
472	291	TbHJrupSAjP	42	16	38.1	19	5	2
494	304	2azQ1b91cZZ	81	23	28.4	36	2	20
500	310	QUCTc6BB5sX	82	19	23.2	50	5	8
512	319	2azQ1b91cZZ	44	10	22.7	17	16	1
523	324	TbHJrupSAjP	28	4	14.3	21	2	1
564	344	X7HyMhZNoso	43	0	0.0	10	33	0
577	351	QUCTc6BB5sX	40	16	40.0	22	1	1
579	353	QUCTc6BB5sX	37	11	29.7	25	0	1
584	355	x8F5xyUWy9e	14	13	92.9	1	0	0
601	366	X7HyMhZNoso	32	0	0.0	29	3	0
602	367	X7HyMhZNoso	29	2	6.9	24	3	0
603	368	X7HyMhZNoso	76	0	0.0	40	36	0
629	376	zsNo4HB9uLZ	20	3	15.0	15	1	1
718	426	2azQ1b91cZZ	51	8	15.7	19	24	0
719	427	2azQ1b91cZZ	23	0	0.0	12	11	0
720	428	2azQ1b91cZZ	23	1	4.3	12	10	0
785	463	QUCTc6BB5sX	21	4	19.0	6	11	0
798	470	QUCTc6BB5sX	29	3	10.3	24	1	1
807	476	2azQ1b91cZZ	87	0	0.0	5	82	0
810	479	2azQ1b91cZZ	31	2	6.5	19	10	0
827	484	zsNo4HB9uLZ	29	7	24.1	18	3	1
853	489	X7HyMhZNoso	26	1	3.8	20	5	0
854	490	X7HyMhZNoso	28	1	3.6	21	6	0
855	491	X7HyMhZNoso	28	3	10.7	22	3	0
868	498	zsNo4HB9uLZ	49	7	14.3	17	4	21
899	517	zsNo4HB9uLZ	32	2	6.2	23	7	0
922	534	zsNo4HB9uLZ	30	1	3.3	18	11	0
930	539	TbHJrupSAjP	27	9	33.3	15	2	1
958	555	2azQ1b91cZZ	23	3	13.0	14	6	0
978	566	QUCTc6BB5sX	64	16	25.0	43	3	2
1006	579	2azQ1b91cZZ	28	2	7.1	25	1	0
1008	581	2azQ1b91cZZ	35	6	17.1	28	1	0
1084	621	zsNo4HB9uLZ	34	9	26.5	9	16	0
1117	645	x8F5xyUWy9e	14	2	14.3	11	0	1
1118	646	x8F5xyUWy9e	50	5	10.0	26	19	0
1134	653	Z6MFQCViBuw	14	14	100.0	0	0	0
1139	658	QUCTc6BB5sX	22	1	4.5	16	5	0
1153	669	X7HyMhZNoso	30	4	13.3	21	3	2
1154	670	X7HyMhZNoso	32	3	9.4	25	1	3
1155	671	X7HyMhZNoso	30	4	13.3	21	3	2
1166	679	zsNo4HB9uLZ	32	0	0.0	28	4	0
1167	680	zsNo4HB9uLZ	32	3	9.4	27	2	0
1177	687	X7HyMhZNoso	12	1	8.3	8	3	0
1178	688	X7HyMhZNoso	13	0	0.0	11	2	0
1189	696	2azQ1b91cZZ	51	14	27.5	25	11	1
1198	705	zsNo4HB9uLZ	36	9	25.0	20	5	2
1256	733	2azQ1b91cZZ	27	7	25.9	18	1	1
1337	784	X7HyMhZNoso	8	0	0.0	6	2	0
1338	785	X7HyMhZNoso	11	0	0.0	9	2	0
1368	806	TbHJrupSAjP	94	23	24.5	56	7	8
1378	813	x8F5xyUWy9e	74	17	23.0	18	0	39
1379	814	x8F5xyUWy9e	14	0	0.0	8	6	0
1380	815	x8F5xyUWy9e	13	0	0.0	8	5	0
1406	829	TbHJrupSAjP	14	14	100.0	0	0	0
1419	833	TbHJrupSAjP	27	2	7.4	23	1	1
1439	844	zsNo4HB9uLZ	46	5	10.9	24	16	1
1516	888	EU6Fwq7SyZv	15	2	13.3	12	1	0
1517	889	EU6Fwq7SyZv	12	1	8.3	9	2	0
1523	895	zsNo4HB9uLZ	93	13	14.0	58	19	3
1643	961	TbHJrupSAjP	23	5	21.7	15	0	3
1699	993	QUCTc6BB5sX	35	7	20.0	26	1	1
1700	994	QUCTc6BB5sX	38	6	15.8	30	1	1
1711	1002	TbHJrupSAjP	23	4	17.4	16	2	1
1712	1003	TbHJrupSAjP	24	5	20.8	14	4	1
1713	1004	TbHJrupSAjP	35	4	11.4	29	1	1
1759	1038	X7HyMhZNoso	34	2	5.9	28	4	0
1801	1062	2azQ1b91cZZ	26	8	30.8	16	1	1
