episode_idx	episode_id	scene	exit_code	start_time	end_time	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal
806	1368	TbHJrupSAjP	0	2026-08-16T17:34:47+01:00	2026-08-16T17:54:59+01:00	True	True	True	2.1413958072662354	0.9665675759315491
470	798	QUCTc6BB5sX	0	2026-08-16T17:54:59+01:00	2026-08-16T18:09:58+01:00	True	True	True	1.0676480531692505	2.467001438140869
646	1118	x8F5xyUWy9e	0	2026-08-16T18:09:58+01:00	2026-08-16T18:36:28+01:00	True	False	False	9.245330810546875	1.4860173463821411
889	1517	EU6Fwq7SyZv	0	2026-08-16T18:36:28+01:00	2026-08-16T18:53:03+01:00	True	True	True	1.8349378108978271	1.6554393768310547
517	899	zsNo4HB9uLZ	0	2026-08-16T18:53:03+01:00	2026-08-16T19:10:26+01:00	True	True	True	1.717771053314209	2.030538558959961
95	141	2azQ1b91cZZ	0	2026-08-16T19:10:26+01:00	2026-08-16T19:25:44+01:00	True	False	False	4.195143699645996	2.432007074356079
324	523	TbHJrupSAjP	0	2026-08-16T19:25:44+01:00	2026-08-16T19:33:54+01:00	True	False	False	6.336177825927734	1.8630645275115967
961	1643	TbHJrupSAjP	0	2026-08-16T19:33:54+01:00	2026-08-16T19:50:35+01:00	True	False	False	3.950256586074829	1.126803994178772
962	1644	TbHJrupSAjP	0	2026-08-16T19:50:35+01:00	2026-08-16T20:03:04+01:00	True	True	True	1.8766099214553833	0.2866397798061371
844	1439	zsNo4HB9uLZ	0	2026-08-16T20:03:04+01:00	2026-08-16T20:11:03+01:00	True	True	True	2.0769565105438232	1.567296028137207
555	958	2azQ1b91cZZ	0	2026-08-16T20:11:03+01:00	2026-08-16T20:27:46+01:00	True	False	False	10.850931167602539	0.09805084019899368
669	1153	X7HyMhZNoso	0	2026-08-16T20:27:46+01:00	2026-08-16T20:37:56+01:00	True	True	True	0.9521688222885132	0.0664878785610199
670	1154	X7HyMhZNoso	0	2026-08-16T20:37:56+01:00	2026-08-16T21:06:32+01:00	True	False	False	6.608534812927246	0.5553672313690186
367	602	X7HyMhZNoso	0	2026-08-16T21:06:32+01:00	2026-08-16T21:29:36+01:00	True	True	True	1.5764235258102417	1.0334663391113281
579	1006	2azQ1b91cZZ	0	2026-08-16T21:29:36+01:00	2026-08-16T21:51:11+01:00	True	True	True	1.9823637008666992	1.5237536430358887
484	827	zsNo4HB9uLZ	0	2026-08-16T21:51:11+01:00	2026-08-16T22:03:24+01:00	True	True	True	1.7843281030654907	0.9409270882606506
