episode,anchor_index,n_accepted_readings,mean_bearing_err_deg,stdev_bearing_err_deg,coefficient_of_variation
5,11,93,88.5,66.51,0.751
680,5,107,58.2,58.3,1.002
680,7,32,168.26,28.46,0.169
4,9,64,77.76,76.71,0.986
994,2,46,99.73,58.46,0.586
367,8,41,90.91,68.89,0.758
368,5,69,51.6,62.16,1.205
368,12,20,130.8,23.57,0.18
1040,7,37,69.09,42.91,0.621
187,14,43,48.3,60.53,1.253
5,3,104,19.44,43.29,2.227
367,6,26,77.55,36.46,0.47
994,8,27,74.12,64.1,0.865
1040,3,23,80.18,33.38,0.416
680,6,13,140.48,48.04,0.342
368,6,42,32.79,12.68,0.387
1040,2,21,59.35,8.82,0.149
1040,4,58,21.27,15.09,0.709
5,8,62,18.72,20.87,1.115
187,7,82,12.98,15.23,1.173
368,11,29,32.57,17.36,0.533
680,11,20,46.93,30.14,0.642
680,12,19,48.76,45.66,0.937
187,12,28,32.52,42.37,1.303
994,11,29,30.28,43.17,1.426
367,9,38,22.57,24.8,1.099
187,6,41,20.65,20.27,0.982
4,2,40,19.82,43.41,2.191
994,15,23,34.32,46.49,1.354
187,13,7,112.26,57.64,0.513
994,7,27,27.79,35.66,1.283
187,2,62,12.05,6.78,0.563
187,11,27,25.76,45.1,1.751
680,10,6,112.96,47.07,0.417
367,5,42,15.74,39.68,2.521
680,14,42,15.4,16.02,1.04
187,5,37,17.23,30.69,1.781
680,9,10,63.13,54.35,0.861
367,11,8,78.62,62.44,0.794
680,8,5,118.02,52.93,0.448
187,8,130,4.23,7.7,1.822
368,10,50,9.61,7.44,0.774
4,11,4,108.97,60.61,0.556
994,3,4,108.52,66.47,0.613
368,4,45,9.55,9.72,1.018
5,12,23,18.67,37.77,2.023
1040,11,13,28.83,44.82,1.554
4,3,49,7.34,7.76,1.057
994,14,21,17.08,11.01,0.645
187,15,22,16.0,18.11,1.132
994,16,3,112.78,38.88,0.345
1040,6,18,18.28,16.86,0.922
994,5,89,3.56,3.73,1.046
367,12,4,74.68,32.38,0.434
367,4,40,7.1,8.0,1.127
994,10,20,12.89,21.53,1.67
187,16,17,12.98,17.5,1.348
1040,10,22,9.64,8.27,0.858
680,17,4,52.47,17.76,0.338
187,17,4,51.73,46.9,0.907
187,10,9,21.86,10.64,0.487
994,4,15,12.28,8.5,0.692
994,12,25,6.83,5.86,0.858
1040,5,13,12.82,7.82,0.61
994,6,23,6.64,7.45,1.123
1040,8,28,5.36,2.85,0.531
4,8,18,8.02,3.99,0.498
680,13,26,5.42,4.57,0.843
4,10,13,10.5,12.29,1.17
367,2,26,4.21,2.41,0.574
368,2,22,4.36,2.42,0.555
368,8,11,7.14,7.63,1.068
187,4,12,6.47,4.17,0.644
1040,9,18,3.92,2.1,0.535
367,3,14,4.86,4.76,0.979
680,4,7,9.36,2.61,0.279
367,7,7,7.82,7.68,0.982
994,13,21,2.5,1.95,0.781
680,16,16,3.25,0.77,0.236
680,15,30,1.7,0.87,0.51
367,10,16,2.87,2.9,1.01
5,7,40,1.1,0.47,0.428
4,4,11,3.44,1.79,0.521
4,7,23,1.45,0.87,0.602
4,5,25,1.22,0.68,0.557
5,5,27,1.08,0.7,0.644
368,9,7,3.08,1.74,0.565
187,1,13,1.62,1.67,1.026
680,1,28,0.72,0.46,0.634
5,4,15,1.33,0.34,0.259
368,1,9,1.83,1.29,0.701
367,1,9,1.61,1.17,0.724
187,3,10,1.43,0.55,0.383
187,9,7,1.85,1.71,0.924
4,6,9,1.05,0.23,0.214
368,3,7,0.93,0.76,0.809
994,9,8,0.77,0.45,0.583
680,3,5,1.13,0.76,0.67
368,7,10,0.55,0.26,0.467
5,6,17,0.28,0.23,0.813
680,2,11,0.4,0.32,0.792
