head,method,requested_coverage,coverage,bad_rate,score_threshold
bearing,model,0.05,0.05001566571237511,0.0031159910328669104,0.0053131248809355
bearing,model,0.1,0.1000383095235423,0.00873085626614312,0.008516878938404129
bearing,model,0.15,0.15024900160698593,0.016140079982775755,0.012471081797353487
bearing,model,0.2,0.20001558561335528,0.05350035789418687,0.018085041355651324
bearing,model,0.25,0.2500011124982749,0.057002986130163226,0.025763631797907718
bearing,model,0.3,0.3000113118358461,0.059639991284683294,0.041474669364084074
bearing,model,0.35,0.35008173043360896,0.06887698266489788,0.06698692898916579
bearing,model,0.39999999999999997,0.40000377027814116,0.0912955071430721,0.11954472371289317
bearing,model,0.44999999999999996,0.45000036701956486,0.12518290993919756,0.19019492706566035
bearing,model,0.49999999999999994,0.500019672227883,0.15986732444672624,0.2681460931704086
bearing,model,0.5499999999999999,0.5500048320777873,0.19312022601987008,0.3456595082019743
bearing,model,0.6,0.6000079024249325,0.2239971194246362,0.41594137167791617
bearing,model,0.65,0.6500028051308695,0.24844953957299534,0.48174185523584534
bearing,model,0.7,0.7000029910244018,0.2684556432570437,0.5456224524165753
bearing,model,0.75,0.7500335344201315,0.29329140026756334,0.613311705391385
bearing,model,0.7999999999999999,0.8000112160233988,0.3154145751884178,0.6833977604655455
bearing,model,0.85,0.8500031892532974,0.33882134569586214,0.7507934736970006
bearing,model,0.9,0.900006659922183,0.36091185997700065,0.8199091812524368
bearing,model,0.95,0.9500001084166023,0.38136020237069673,0.8901899020029804
bearing,model,1.0,1.0,0.3991581639549431,0.9996012036313128
bearing,simple_icp_baseline,0.05,0.050014213113537834,0.02693217327895804,0.006788074214433164
bearing,simple_icp_baseline,0.1,0.10006660694454543,0.028539382372815336,0.006788074214433164
bearing,simple_icp_baseline,0.15,0.1500747935900217,0.03384639483578685,0.006788074214433164
bearing,simple_icp_baseline,0.2,0.20001084061874708,0.03214912249696589,0.006788074214433164
bearing,simple_icp_baseline,0.25,0.25000508018429035,0.03425466913238246,0.006788074214433164
bearing,simple_icp_baseline,0.3,0.30001024907215723,0.03869983144640653,0.006788074214433164
bearing,simple_icp_baseline,0.35,0.350003280109179,0.04180380764338316,0.23220428298442844
bearing,simple_icp_baseline,0.39999999999999997,0.40000605059620814,0.08397566155701013,0.4070129509586199
bearing,simple_icp_baseline,0.44999999999999996,0.4500086941807015,0.1201331586104652,0.4762628300980029
bearing,simple_icp_baseline,0.49999999999999994,0.5000047537328919,0.1599860697341038,0.5229244732517702
bearing,simple_icp_baseline,0.5499999999999999,0.5500050765654327,0.19963488174453764,0.5570780003426146
bearing,simple_icp_baseline,0.6,0.6000082042869462,0.23461768209903341,0.5793496152013714
bearing,simple_icp_baseline,0.65,0.6500003745505476,0.2692300830271657,0.5968316865337525
bearing,simple_icp_baseline,0.7,0.7000072147781181,0.2978137067397615,0.6139698074053019
bearing,simple_icp_baseline,0.75,0.7500318816236032,0.3231814130741019,0.6314878587762494
bearing,simple_icp_baseline,0.7999999999999999,0.8000054187885355,0.3445565545499951,0.6488036392419329
bearing,simple_icp_baseline,0.85,0.8500087360354379,0.36187104170666085,0.6686129004891183
bearing,simple_icp_baseline,0.9,0.9000085725572057,0.3744482372809934,0.6916216673607232
bearing,simple_icp_baseline,0.95,0.9500016529939732,0.38377303023799997,0.7306898801279234
bearing,simple_icp_baseline,1.0,1.0,0.3991581639549371,0.9966584124745995
distance,model,0.05,0.05000397962947113,0.0,0.001107345969450073
distance,model,0.1,0.10003173038942231,0.0,0.0014636232866250742
distance,model,0.15,0.1500278491087436,0.0,0.0019318669795032788
distance,model,0.2,0.20000446538171734,0.0,0.002651792648509269
distance,model,0.25,0.2500286133063157,0.0003871024234890096,0.003938699290784947
distance,model,0.3,0.300012670429607,0.0009678259456229931,0.006273973188699824
distance,model,0.35,0.3500206750270863,0.0019167166717936018,0.01686259121131129
distance,model,0.39999999999999997,0.40000381084885406,0.009084156686377506,0.07588772737125798
distance,model,0.44999999999999996,0.4500399684185052,0.057739937065763164,0.21602068009272857
distance,model,0.49999999999999994,0.5000176524363299,0.12374827559037617,0.3238988810456253
distance,model,0.5499999999999999,0.5500077184304596,0.18392812460929558,0.4114193212479603
distance,model,0.6,0.6000101456197181,0.23776945723259538,0.4853254074293802
distance,model,0.65,0.6500078824532226,0.28559488710473896,0.5554427686030259
distance,model,0.7,0.7000101590963173,0.3271458418926076,0.620194782516846
distance,model,0.75,0.7500286043901916,0.36422399619127915,0.6761385076586159
distance,model,0.7999999999999999,0.8000066519632917,0.395998458267156,0.7317082656524773
distance,model,0.85,0.8500117148145703,0.42437427879406286,0.7844584840979412
distance,model,0.9,0.9000047313405628,0.4508849620037146,0.8363782759526905
distance,model,0.95,0.9500074746432657,0.47609763263516935,0.8889998564356725
distance,model,1.0,1.0,0.4976607806966558,0.9840192708905084
distance,simple_icp_baseline,0.05,0.050014213113537834,0.015575945069704009,2.2338712465037198e-05
distance,simple_icp_baseline,0.1,0.10006660694454543,0.014202875539462465,2.2338712465037198e-05
distance,simple_icp_baseline,0.15,0.1500747935900217,0.017141764342551626,2.2338712465037198e-05
distance,simple_icp_baseline,0.2,0.20001084061874708,0.013549023761807156,2.2338712465037198e-05
distance,simple_icp_baseline,0.25,0.25000508018429035,0.022616249931554193,2.2338712465037198e-05
distance,simple_icp_baseline,0.3,0.30001024907215723,0.020731264137338407,2.2338712465037198e-05
distance,simple_icp_baseline,0.35,0.350003280109179,0.021618801237718394,0.029421990450985192
distance,simple_icp_baseline,0.39999999999999997,0.40000605059620814,0.06095011511137502,0.12605512922325052
distance,simple_icp_baseline,0.44999999999999996,0.4500086941807015,0.09539207051479379,0.19767277371455225
distance,simple_icp_baseline,0.49999999999999994,0.5000047537328919,0.14446580582032748,0.26010696271836264
distance,simple_icp_baseline,0.5499999999999999,0.5500050765654327,0.19942304157712196,0.3135393960975029
distance,simple_icp_baseline,0.6,0.6000082042869462,0.2507762654713137,0.3518711867840121
distance,simple_icp_baseline,0.65,0.6500003745505476,0.2955681504177843,0.38379892371772095
distance,simple_icp_baseline,0.7,0.7000072147781181,0.3336701876512074,0.416562944776142
distance,simple_icp_baseline,0.75,0.7500318816236032,0.36698476221974746,0.451412462329564
distance,simple_icp_baseline,0.7999999999999999,0.8000054187885355,0.39652654717005126,0.4870326679083632
distance,simple_icp_baseline,0.85,0.8500087360354379,0.4241647238429538,0.5289321032542768
distance,simple_icp_baseline,0.9,0.9000085725572057,0.4513258880121636,0.578643676906634
distance,simple_icp_baseline,0.95,0.9500016529939732,0.4764126220073058,0.6636517592944664
distance,simple_icp_baseline,1.0,1.0,0.49766078069658237,0.9999339153509983
pose,model,0.05,0.05000692271752336,0.0,0.0027968489770272722
pose,model,0.1,0.10001858399782818,0.0,0.003916635876924975
pose,model,0.15,0.15005473799101468,0.0,0.005285632419598562
pose,model,0.2,0.20000924610375267,0.0,0.007365043296351073
pose,model,0.25,0.2500390173009972,0.0003400186913196978,0.01101808579723613
pose,model,0.3,0.3000016925933719,0.0020755211464147387,0.017917034645867923
pose,model,0.35,0.3500075626892451,0.009222187163407967,0.04886512655651845
pose,model,0.39999999999999997,0.40004159776397824,0.05114789459971034,0.1805549304581612
pose,model,0.44999999999999996,0.4500243188435379,0.12010554154779254,0.44115382805721315
pose,model,0.49999999999999994,0.5000017960868129,0.18575991031268974,0.6399372638275618
pose,model,0.5499999999999999,0.5500086726035838,0.24888541868793368,0.7534122064540603
pose,model,0.6,0.600030081147735,0.30702161160531183,0.8240755459225982
pose,model,0.65,0.6500007302856687,0.3567210024495377,0.8681335292720751
pose,model,0.7,0.7000055914342709,0.3996944700316377,0.8969285392910712
pose,model,0.75,0.7500088629380535,0.43765909064789177,0.9184346584940906
