episode_idx,scene,exit_code,result_dir_exists,measurement_exists,trajectory_rows,return_rows,diagnostic_records,anchor_count,reported_outbound_success,reported_return_success,reported_round_trip_success,strict_final_distance_m,minimum_return_distance_m,strict_return_success,ever_within_3m,entered_then_left_3m,final_stop_gate_decision,stuck_recovery_fired
579,2azQ1b91cZZ,0,True,True,3852,1702,530,17,True,True,True,1.99071620216907,1.99071620216907,True,True,False,deferred,False
448,EU6Fwq7SyZv,0,True,True,4027,2427,968,7,False,True,False,0.5006264132907089,0.49702460175918406,True,True,False,forced,True
691,QUCTc6BB5sX,0,True,True,4362,1812,726,15,False,True,False,2.2185976055377084,2.2185976055377084,True,True,False,forced,False
539,TbHJrupSAjP,0,True,True,2902,1227,492,11,True,True,True,2.5197347531925636,2.5197347531925636,True,True,False,forced,False
688,X7HyMhZNoso,0,True,True,3862,2612,1046,7,True,False,False,6.116145331110743,4.037875540133359,False,False,False,deferred,True
356,x8F5xyUWy9e,0,True,True,2427,1227,286,6,False,False,False,3.9896153092505537,0.8527135186488927,False,True,True,deferred,False
987,zsNo4HB9uLZ,0,True,True,3027,1202,388,14,False,False,False,4.948461510405007,4.515817961152704,False,False,False,deferred,False
931,2azQ1b91cZZ,0,True,True,2502,0,0,19,False,False,False,,,False,False,False,no_return,False
186,EU6Fwq7SyZv,0,True,True,2502,0,0,16,False,False,False,,,False,False,False,no_return,False
387,QUCTc6BB5sX,0,True,True,2777,1202,482,13,False,True,False,1.959417733394105,1.959417733394105,True,True,False,deferred,False
199,TbHJrupSAjP,0,True,True,2502,0,0,13,False,False,False,,,False,False,False,no_return,False
366,X7HyMhZNoso,0,True,True,7002,5002,1269,13,True,False,False,1.7854797291250852,0.23286012694164934,True,True,False,vetoed,False
385,x8F5xyUWy9e,0,True,True,2002,602,235,9,False,True,False,2.103853216077253,2.103853216077253,True,True,False,forced,False
264,zsNo4HB9uLZ,0,True,True,2852,877,352,16,True,False,False,5.84529076402633,5.84529076402633,False,False,False,deferred,False
427,2azQ1b91cZZ,0,True,True,1652,327,132,8,True,False,False,3.1069070825419773,3.1069070825419773,False,False,False,forced,False
762,EU6Fwq7SyZv,0,True,True,1445,0,0,14,False,False,False,,,False,False,False,no_return,False
125,QUCTc6BB5sX,0,True,True,2502,0,0,6,False,False,False,,,False,False,False,no_return,False
324,TbHJrupSAjP,0,True,False,0,0,0,0,,,,,,False,False,False,no_return,False
784,X7HyMhZNoso,0,True,True,1902,377,152,10,True,False,False,4.283823858413781,4.283823858413781,False,False,False,deferred,False
952,x8F5xyUWy9e,0,True,True,1,0,0,1,False,False,False,,,False,False,False,no_return,False
420,zsNo4HB9uLZ,0,True,True,5157,2357,944,20,True,True,True,2.241043354684151,2.241043354684151,True,True,False,deferred,False
93,2azQ1b91cZZ,0,True,True,3652,852,318,21,True,False,False,8.72341161131232,8.72341161131232,False,False,False,forced,False
188,EU6Fwq7SyZv,0,True,True,2230,0,0,20,False,False,False,,,False,False,False,no_return,False
690,QUCTc6BB5sX,124,False,False,0,0,0,0,,,,,,False,False,False,no_return,False
962,TbHJrupSAjP,0,True,True,2227,652,249,10,True,True,True,2.5621181516475864,2.5621181516475864,True,True,False,forced,False
687,X7HyMhZNoso,0,True,True,1777,427,160,7,True,True,True,2.5132498388912823,2.5132498388912823,True,True,False,forced,False
646,x8F5xyUWy9e,0,True,True,3702,2352,942,10,True,False,False,9.44134150962126,4.196526862265126,False,False,False,deferred,True
100,zsNo4HB9uLZ,0,True,True,6427,4652,1862,13,False,False,False,7.420890737058496,5.993629372618394,False,False,False,accepted,True
1062,2azQ1b91cZZ,0,True,True,3477,1527,438,14,True,False,False,3.4978823037154148,3.038032656022866,False,False,False,deferred,False
888,EU6Fwq7SyZv,0,True,True,2852,1277,508,12,True,True,True,1.8961809239448897,1.8961809239448897,True,True,False,forced,False
672,QUCTc6BB5sX,0,True,True,5877,3102,1242,19,False,False,False,7.612971162925563,6.134428116896896,False,False,False,deferred,False
586,TbHJrupSAjP,0,True,True,1574,0,0,6,False,False,False,,,False,False,False,no_return,False
383,X7HyMhZNoso,0,True,True,2502,0,0,12,False,False,False,,,False,False,False,no_return,False
814,x8F5xyUWy9e,0,True,True,2337,812,326,8,True,False,False,4.267323091318712,4.177244123127352,False,False,False,deferred,False
333,zsNo4HB9uLZ,0,True,True,2002,652,262,10,False,True,False,2.3905133101521914,2.3905133101521914,True,True,False,forced,False
581,2azQ1b91cZZ,0,True,True,3627,1277,499,19,True,False,False,7.42665389418137,7.42665389418137,False,False,False,forced,False
278,EU6Fwq7SyZv,0,True,True,2052,0,0,14,False,False,False,,,False,False,False,no_return,False
657,QUCTc6BB5sX,0,True,True,2502,0,0,19,False,False,False,,,False,False,False,no_return,False
972,TbHJrupSAjP,0,True,True,21,0,0,1,False,False,False,,,False,False,False,no_return,False
682,X7HyMhZNoso,0,True,True,1352,202,82,6,False,True,False,2.3936961906659584,2.3936961906659584,True,True,False,forced,False
815,x8F5xyUWy9e,0,True,True,2202,702,282,8,True,True,True,2.628664232508754,2.628664232508754,True,True,False,deferred,False
1069,zsNo4HB9uLZ,0,True,True,2487,987,396,10,False,True,False,2.0230265543096007,2.0230265543096007,True,True,False,accepted,False
61,2azQ1b91cZZ,0,True,True,2502,0,0,18,False,False,False,,,False,False,False,no_return,False
247,EU6Fwq7SyZv,0,True,True,1445,0,0,14,False,False,False,,,False,False,False,no_return,False
123,QUCTc6BB5sX,0,True,True,2180,0,0,10,True,False,False,,,False,False,False,no_return,False
999,TbHJrupSAjP,0,True,True,1376,0,0,12,False,False,False,,,False,False,False,no_return,False
490,X7HyMhZNoso,0,True,True,2802,677,272,13,True,False,False,6.15486143031354,3.5885414514799963,False,False,False,deferred,False
18,x8F5xyUWy9e,0,True,True,3920,1945,780,13,True,False,False,8.018441709298523,6.086260439839354,False,False,False,pass,True
865,zsNo4HB9uLZ,0,True,True,2502,0,0,3,False,False,False,,,False,False,False,no_return,False
205,2azQ1b91cZZ,0,True,True,2877,1002,402,14,True,False,False,3.1158135764698716,3.1158135764698716,False,False,False,deferred,False
764,EU6Fwq7SyZv,0,True,True,3652,1977,792,13,True,False,False,6.736963456771022,6.329226289278104,False,False,False,forced,True
351,QUCTc6BB5sX,0,True,True,4977,2302,904,20,True,True,True,2.0261353974829173,2.0261353974829173,True,True,False,deferred,False
1057,TbHJrupSAjP,0,True,True,11,0,0,1,False,False,False,,,False,False,False,no_return,False
671,X7HyMhZNoso,0,True,True,2927,1402,562,10,True,True,True,1.7072998375189916,1.7072998375189916,True,True,False,forced,False
3,x8F5xyUWy9e,0,True,True,1877,702,282,9,False,True,False,0.6884949737073535,0.6884949737073535,True,True,False,deferred,False
622,zsNo4HB9uLZ,0,True,True,2502,0,0,10,False,False,False,,,False,False,False,no_return,False
114,2azQ1b91cZZ,0,True,True,2502,0,0,19,False,False,False,,,False,False,False,no_return,False
449,EU6Fwq7SyZv,0,True,True,2502,0,0,12,False,False,False,,,False,False,False,no_return,False
715,QUCTc6BB5sX,0,True,True,4335,2235,896,14,False,False,False,13.228999494054623,9.124340155906447,False,False,False,pass,False
979,TbHJrupSAjP,0,True,True,3552,1802,722,12,True,False,False,5.789742858765069,2.366143681406894,False,True,True,deferred,False
489,X7HyMhZNoso,0,True,True,3427,1402,557,12,True,True,True,2.2598460312047157,2.2598460312047157,True,True,False,accepted,False
645,x8F5xyUWy9e,0,True,True,1977,752,302,9,True,True,True,0.8966293525168493,0.8966293525168493,True,True,False,deferred,False
654,zsNo4HB9uLZ,0,True,True,1952,527,206,7,False,True,False,1.7631382794341195,1.7631382794341195,True,True,False,forced,False
95,2azQ1b91cZZ,0,True,True,3427,1077,414,18,True,False,False,4.8093891994352465,4.8093891994352465,False,False,False,forced,False
87,EU6Fwq7SyZv,0,True,True,6777,5002,2002,9,True,False,False,3.9494657697740974,2.2451489612833777,False,True,True,pass,True
716,QUCTc6BB5sX,0,True,True,2502,0,0,19,False,False,False,,,False,False,False,no_return,False
615,TbHJrupSAjP,0,True,True,2502,0,0,12,False,False,False,,,False,False,False,no_return,False
681,X7HyMhZNoso,0,True,True,1852,452,175,7,False,True,False,2.354848492156055,2.354848492156055,True,True,False,forced,False
19,x8F5xyUWy9e,0,True,True,1887,387,156,9,True,False,False,5.652916119571675,4.00372580009258,False,False,False,deferred,False
196,zsNo4HB9uLZ,0,True,True,3487,1462,586,14,True,True,True,2.9393428715581513,2.9393428715581513,True,True,False,deferred,False
808,2azQ1b91cZZ,0,True,True,2502,0,0,22,False,False,False,,,False,False,False,no_return,False
890,EU6Fwq7SyZv,0,True,True,2502,0,0,5,False,False,False,,,False,False,False,no_return,False
310,QUCTc6BB5sX,0,True,True,3377,1802,525,13,True,True,True,2.840337340070019,0.4053128171486903,True,True,False,deferred,False
413,TbHJrupSAjP,0,True,True,2502,0,0,25,False,False,False,,,False,False,False,no_return,False
683,X7HyMhZNoso,0,True,True,2502,0,0,8,False,False,False,,,False,False,False,no_return,False
355,x8F5xyUWy9e,0,True,True,5237,2912,1166,16,True,True,True,1.8322283643930346,1.8322283643930346,True,True,False,deferred,True
613,zsNo4HB9uLZ,0,True,True,7177,5002,2002,12,False,False,False,3.8892729929595604,2.1568744265261532,False,True,True,pass,True
429,2azQ1b91cZZ,0,True,True,2502,0,0,16,False,False,False,,,False,False,False,no_return,False
288,EU6Fwq7SyZv,0,True,True,2502,0,0,8,False,False,False,,,False,False,False,no_return,False
28,QUCTc6BB5sX,0,True,True,2502,0,0,18,False,False,False,,,False,False,False,no_return,False
668,TbHJrupSAjP,0,True,True,257,0,0,1,False,False,False,,,False,False,False,no_return,False
689,X7HyMhZNoso,0,True,True,1902,652,262,7,True,True,True,1.8435197378859074,1.841348816534634,True,True,False,forced,False
384,x8F5xyUWy9e,0,True,True,2502,0,0,11,False,False,False,,,False,False,False,no_return,False
844,zsNo4HB9uLZ,0,True,True,6427,5002,2002,8,True,False,False,2.2874084742838554,2.218175095376184,True,True,False,pass,True
698,2azQ1b91cZZ,0,True,True,4232,2082,834,15,True,False,False,7.45957683890182,4.0988935486143205,False,False,False,deferred,False
