episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start
4	8	x8F5xyUWy9e	354	583	5	0.000000	10.248705
5	9	x8F5xyUWy9e	354	583	5	0.000000	10.248705
19	32	x8F5xyUWy9e	135	199	4	1.070148	6.361872
87	127	EU6Fwq7SyZv	288	460	5	1.348777	4.614529
88	128	EU6Fwq7SyZv	288	460	5	1.348777	2.292637
89	129	EU6Fwq7SyZv	288	460	5	1.349000	2.292637
93	139	2azQ1b91cZZ	579	1006	5	0.000000	13.368412
95	141	2azQ1b91cZZ	579	1006	5	0.000000	13.368412
196	302	zsNo4HB9uLZ	771	1321	6	0.296615	8.340226
205	314	2azQ1b91cZZ	807	1372	4	1.551582	9.997160
264	418	zsNo4HB9uLZ	639	1108	6	0.000000	12.458867
268	422	QUCTc6BB5sX	435	739	6	0.000000	8.807060
276	442	EU6Fwq7SyZv	888	1516	4	0.261469	11.290769
310	500	QUCTc6BB5sX	792	1351	5	0.368796	9.363973
344	564	X7HyMhZNoso	381	634	4	0.677694	10.897293
351	577	QUCTc6BB5sX	105	151	5	0.000000	14.125214
355	584	x8F5xyUWy9e	3	7	5	0.083086	9.844459
366	601	X7HyMhZNoso	1038	1759	7	0.000000	9.774121
367	602	X7HyMhZNoso	1038	1759	7	0.000000	6.916351
368	603	X7HyMhZNoso	1038	1759	7	0.000000	6.916351
420	712	zsNo4HB9uLZ	612	1069	7	0.225539	14.089020
427	719	2azQ1b91cZZ	756	1288	5	0.853292	5.156441
484	827	zsNo4HB9uLZ	810	1375	4	0.000000	7.025259
489	853	X7HyMhZNoso	1038	1759	6	0.190970	8.881821
490	854	X7HyMhZNoso	1038	1759	6	0.190970	8.881821
491	855	X7HyMhZNoso	1038	1759	6	0.190970	3.666043
500	870	zsNo4HB9uLZ	222	352	4	0.479000	7.425987
539	930	TbHJrupSAjP	198	307	7	1.519046	7.633810
579	1006	2azQ1b91cZZ	93	139	5	0.000000	13.760632
581	1008	2azQ1b91cZZ	93	139	5	0.000000	13.760632
646	1118	x8F5xyUWy9e	354	583	4	0.475011	8.570651
647	1119	x8F5xyUWy9e	354	583	4	0.475000	8.374983
658	1139	QUCTc6BB5sX	660	1141	5	0.000000	7.587837
669	1153	X7HyMhZNoso	681	1168	5	0.000000	3.276791
671	1155	X7HyMhZNoso	681	1168	5	0.000000	6.450071
680	1167	zsNo4HB9uLZ	612	1069	7	0.000000	12.981381
687	1177	X7HyMhZNoso	783	1336	4	0.000000	5.328553
688	1178	X7HyMhZNoso	783	1336	4	0.000000	5.328553
698	1191	2azQ1b91cZZ	120	166	5	0.333557	10.228483
784	1337	X7HyMhZNoso	687	1177	4	0.960138	7.768569
785	1338	X7HyMhZNoso	687	1177	4	0.960138	7.768569
813	1378	x8F5xyUWy9e	951	1633	4	0.830905	4.214828
815	1380	x8F5xyUWy9e	951	1633	4	0.830905	5.487870
844	1439	zsNo4HB9uLZ	882	1501	5	0.000000	6.517529
888	1516	EU6Fwq7SyZv	276	442	4	1.213044	8.710791
961	1643	TbHJrupSAjP	291	472	4	0.315807	6.949306
962	1644	TbHJrupSAjP	291	472	4	0.315807	6.949306
994	1700	QUCTc6BB5sX	105	151	7	0.000000	12.657429
1038	1759	X7HyMhZNoso	366	601	7	0.000000	6.916351
1062	1801	2azQ1b91cZZ	930	1579	5	0.278728	9.902829
