episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start
670	1154	X7HyMhZNoso	681	1168	5	0.000000	3.276791
783	1336	X7HyMhZNoso	687	1177	4	0.960138	7.436316
382	635	X7HyMhZNoso	342	562	4	0.498710	6.710190
381	634	X7HyMhZNoso	342	562	4	0.499000	6.710190
653	1134	Z6MFQCViBuw	336	547	4	0.000000	7.984009
652	1133	Z6MFQCViBuw	336	547	4	0.000000	7.984009
338	549	Z6MFQCViBuw	651	1132	4	0.000000	9.215299
696	1189	2azQ1b91cZZ	120	166	5	0.333557	10.149185
189	286	2azQ1b91cZZ	696	1189	4	0.000000	6.937679
144	214	2azQ1b91cZZ	474	805	4	0.718000	5.719809
178	263	2azQ1b91cZZ	36	61	6	0.062588	9.134084
277	443	EU6Fwq7SyZv	888	1516	4	0.261469	10.349057
289	461	EU6Fwq7SyZv	87	127	5	1.348777	3.093649
248	390	EU6Fwq7SyZv	186	280	5	0.648125	7.258468
488	843	QUCTc6BB5sX	834	1420	6	0.000000	11.092296
486	841	QUCTc6BB5sX	834	1420	6	0.000000	11.092296
546	943	QUCTc6BB5sX	855	1462	5	0.000000	10.419371
467	795	QUCTc6BB5sX	600	1042	7	0.216221	8.690815
1058	1791	TbHJrupSAjP	615	1075	4	0.712000	7.765753
974	1656	TbHJrupSAjP	615	1075	6	0.568000	6.674971
875	1488	TbHJrupSAjP	585	1018	4	0.793000	6.991297
1004	1713	TbHJrupSAjP	585	1018	4	0.315807	4.023420
639	1108	zsNo4HB9uLZ	264	418	6	0.000000	10.928180
640	1109	zsNo4HB9uLZ	264	418	6	0.000000	10.928180
726	1240	zsNo4HB9uLZ	942	1612	5	0.000000	3.751096
534	922	zsNo4HB9uLZ	840	1435	5	0.750029	4.674335
354	583	x8F5xyUWy9e	3	7	5	0.083000	9.835469
137	201	x8F5xyUWy9e	18	31	4	0.000000	4.622848
409	683	oLBMNvg9in8	522	907	4	0.761000	5.976311
410	684	oLBMNvg9in8	522	907	4	0.760731	5.976311
