episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	vlm_port	start_time	end_time	exit_code	result_suffix	vlm_log	eval_log	measurement_file	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal	trajectory_record_count
4	8	x8F5xyUWy9e	354	583	5	0.000000	10.248705	64004	2026-07-28T20:54:19+01:00	2026-07-28T21:17:31+01:00	0	reliability_v11_anchor_stop_active50_20260728_ep4	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep4_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep4_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_reliability_v11_anchor_stop_active50_20260728_ep4/measurements/7.json	True	True	True	1.9470157623291016	1.532191276550293	3772
5	9	x8F5xyUWy9e	354	583	5	0.000000	10.248705	64005	2026-07-28T21:17:31+01:00	2026-07-28T22:12:55+01:00	0	reliability_v11_anchor_stop_active50_20260728_ep5	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep5_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep5_eval.log							
5	9	x8F5xyUWy9e	354	583	5	0.000000	10.248705	64005	2026-07-28T22:14:56+01:00	2026-07-28T22:15:15+01:00	98	reliability_v11_anchor_stop_active50_20260728_ep5	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep5_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep5_eval.log							
19	32	x8F5xyUWy9e	135	199	4	1.070148	6.361872	64019	2026-07-28T22:15:15+01:00	2026-07-28T22:34:01+01:00	0	reliability_v11_anchor_stop_active50_20260728_ep19	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep19_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep19_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_reliability_v11_anchor_stop_active50_20260728_ep19/measurements/31.json	True	False	False	5.321817874908447	0.9132973551750183	3657
87	127	EU6Fwq7SyZv	288	460	5	1.348777	4.614529	64087	2026-07-28T22:34:01+01:00	2026-07-28T22:42:49+01:00	0	reliability_v11_anchor_stop_active50_20260728_ep87	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep87_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep87_eval.log							
87	127	EU6Fwq7SyZv	288	460	5	1.348777	4.614529	64087	2026-07-28T22:44:49+01:00	2026-07-28T22:56:59+01:00	0	reliability_v11_anchor_stop_active50_20260728_ep87	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep87_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep87_eval.log							
88	128	EU6Fwq7SyZv	288	460	5	1.348777	2.292637	64088	2026-07-28T22:57:00+01:00	2026-07-28T23:12:30+01:00	0	reliability_v11_anchor_stop_active50_20260728_ep88	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep88_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep88_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_reliability_v11_anchor_stop_active50_20260728_ep88/measurements/127.json	True	False	False	2.508436918258667	0.9093955755233765	3037
89	129	EU6Fwq7SyZv	288	460	5	1.349000	2.292637	64089	2026-07-28T23:12:31+01:00	2026-07-28T23:32:28+01:00	0	reliability_v11_anchor_stop_active50_20260728_ep89	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep89_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep89_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_reliability_v11_anchor_stop_active50_20260728_ep89/measurements/128.json	True	False	False	3.145174980163574	2.477093458175659	2302
93	139	2azQ1b91cZZ	579	1006	5	0.000000	13.368412	64093	2026-07-28T23:32:28+01:00	2026-07-29T00:21:35+01:00	0	reliability_v11_anchor_stop_active50_20260728_ep93	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep93_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep93_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_reliability_v11_anchor_stop_active50_20260728_ep93/measurements/138.json	True	False	False	11.315147399902344	1.3402221202850342	7752
95	141	2azQ1b91cZZ	579	1006	5	0.000000	13.368412	64095	2026-07-29T00:21:35+01:00	2026-07-29T00:47:38+01:00	0	reliability_v11_anchor_stop_active50_20260728_ep95	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep95_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_anchor_stop_active50_20260728/ep95_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_reliability_v11_anchor_stop_active50_20260728_ep95/measurements/140.json	True	True	True	1.9966577291488647	2.432007074356079	4672
