cohort_role	episode_idx	scene	length_band	historical_outbound_successes	historical_completed_trials	historical_return_successes	old_training_overlap	current50_overlap	historical_attempt_overlap	route_pair_sha256	selection_reason
training_development	319	2azQ1b91cZZ	medium	8	8	0	False	False	True	f5be25c83240a783e36df81bd5ef932084ccfd68a0eb7eedf0cc56db8af76c95	known_outbound_reachable_low_return_yield
training_development	696	2azQ1b91cZZ	long	2	2	0	False	False	True	6e6803151b1d4d0713b61cbb05533e047b72d6366d9efb2fd71e807f9f9e759b	known_outbound_reachable_low_return_yield
training_development	555	2azQ1b91cZZ	medium	1	1	0	False	False	True	e3eedfb5aac1af8c12adfdbe4bbac08cd6a07eeb7d772313ac7888e427e33202	known_outbound_reachable_low_return_yield
training_development	479	2azQ1b91cZZ	medium	1	1	0	False	False	True	8f1b72ad4d6585fae2bf0a9d9be3c9765dcb3ea13729655176f8f26ce284461e	known_outbound_reachable_low_return_yield
training_development	288	EU6Fwq7SyZv	medium	1	2	1	True	False	True	4823627490414b6d18f3cbe2594938baaf9d38816424d18a1b01b729f5cd4fd5	known_outbound_reachable_low_return_yield
training_development	1008	QUCTc6BB5sX	long	3	4	0	False	False	True	08ba20b9b40083fe18d29432d392752ff0ddced30b7ca6d8ae89238e17363fc9	known_outbound_reachable_low_return_yield
training_development	123	QUCTc6BB5sX	medium	2	3	0	False	False	True	e3c6ee6c65314c1b51b81be8275096434d50b3c14dc81be5526a7d2f5421aa28	known_outbound_reachable_low_return_yield
training_development	1016	QUCTc6BB5sX	long	1	1	0	False	False	True	34f6bb75771d150767ef3fe667d6d0e549530ada2951426c1a8a203251f6062f	known_outbound_reachable_low_return_yield
training_development	470	QUCTc6BB5sX	long	1	1	0	False	False	True	d9faaddd2afce45123ff9cb59cf161f183356e09459239031664cd1e4258f2f2	known_outbound_reachable_low_return_yield
training_development	324	TbHJrupSAjP	long	1	1	0	True	False	True	34256975f0aaaea3d0c738d6843f5df7114e9efa86bd7204468249c328c3dc5d	known_outbound_reachable_low_return_yield
training_development	806	TbHJrupSAjP	medium	1	1	0	False	False	True	0403c6020819b4c4669f5ff3c971a0f2e7df47053273f7b9fc4e3c10e633787a	known_outbound_reachable_low_return_yield
training_development	829	TbHJrupSAjP	medium	1	1	0	False	False	True	e7322b41e596e39959b83fc2a0fb8067e8ea15402ebc69d7ab081c2fe7cd319c	known_outbound_reachable_low_return_yield
training_development	979	TbHJrupSAjP	medium	1	2	0	True	False	True	1879afc43ce479bc742eda22e88aa9ad1d2ce6510bf42e5baba2e6afa014109f	known_outbound_reachable_low_return_yield
training_development	344	X7HyMhZNoso	long	4	5	0	True	False	True	74c6a1513da2f79c081daebc94f523f3b20b0e282a8cbdd584204bc006f1d0ca	known_outbound_reachable_low_return_yield
training_development	784	X7HyMhZNoso	medium	3	3	0	True	False	True	4f87f7c947eb61f7046bdf7219a2bf15ac8d5d7fe9b6b600778dbebe024c374b	known_outbound_reachable_low_return_yield
training_development	382	X7HyMhZNoso	long	1	4	0	False	False	True	74c6a1513da2f79c081daebc94f523f3b20b0e282a8cbdd584204bc006f1d0ca	known_outbound_reachable_low_return_yield
training_development	653	Z6MFQCViBuw	long	1	1	0	False	False	True	36be8f3bcaad416be6d591d38ebba2e5d2e8e3b8f3a66a2e0bba2f28223a7682	known_outbound_reachable_low_return_yield
training_development	336	Z6MFQCViBuw	long	1	2	0	False	False	True	36be8f3bcaad416be6d591d38ebba2e5d2e8e3b8f3a66a2e0bba2f28223a7682	known_outbound_reachable_low_return_yield
training_development	408	oLBMNvg9in8	medium	11	34	3	True	False	True	732b13123443536d65a6297b4ecfd0f87bd57c428dafd606bcaa0f8e68c7bd45	known_outbound_reachable_low_return_yield
training_development	136	x8F5xyUWy9e	medium	1	2	0	False	False	True	15adf1a5786496d2b3161f546e76334ddcadc709743ed05f3094af65e41d5986	known_outbound_reachable_low_return_yield
training_development	168	zsNo4HB9uLZ	long	1	1	0	False	False	True	75557fbf4c4a8792dbdbdf82b6ffc0b49e5028cb618833e4b0906de1840810aa	known_outbound_reachable_low_return_yield
training_development	86	zsNo4HB9uLZ	long	1	1	0	False	False	True	2bb201ca6aa32fb8d2c256b0920b8e402d778d4073250813fd33fe2a66c47bd3	known_outbound_reachable_low_return_yield
training_development	656	zsNo4HB9uLZ	long	1	1	0	False	False	True	14675fdff83bbdd467d120f6768cbd486f6a9c4104d21542b15e3accb6315e06	known_outbound_reachable_low_return_yield
training_development	517	zsNo4HB9uLZ	medium	1	1	0	False	False	True	6050453c5cf338335c9dba79460ddb86c95834a64a5366cd101003e4e69299f6	known_outbound_reachable_low_return_yield
locked_validation	738	2azQ1b91cZZ	long	0	0	0	False	False	False	dfabf29198446532eefdb8c62c901ae349e2702f367a36dcbe41d297c5fc0ce6	sealed_fresh_physical_id_and_geometry
locked_validation	304	2azQ1b91cZZ	medium	0	0	0	False	False	False	1eaa88831c5e996e40d831f9b4f57c4ea5e12620014c22634636feb8f276d85c	sealed_fresh_physical_id_and_geometry
locked_validation	861	2azQ1b91cZZ	long	0	0	0	False	False	False	d13349d951a84fb51f2ba0dfb325ae76e2b39250d7e812c883777a704268e030	sealed_fresh_physical_id_and_geometry
locked_validation	233	2azQ1b91cZZ	medium	0	0	0	False	False	False	fc6171f57267bf866506893efc6b8897197d56465bb5123723a9d4887a84761e	sealed_fresh_physical_id_and_geometry
locked_validation	493	2azQ1b91cZZ	long	0	0	0	False	False	False	0a4e61130d3654c9111fd9aa8540fa091bfcc6240e8c1e21d11c7cb0c5080598	sealed_fresh_physical_id_and_geometry
locked_validation	733	2azQ1b91cZZ	medium	0	0	0	False	False	False	6a54abf87313a4cbd6804b1b4895b79cba139541ebfab6d4cca91441fa5578fe	sealed_fresh_physical_id_and_geometry
locked_validation	471	2azQ1b91cZZ	long	0	0	0	False	False	False	214da26c657ec695d4c50ac8d8524303b9e51ba61cd54382799287896c4c44fa	sealed_fresh_physical_id_and_geometry
locked_validation	885	QUCTc6BB5sX	long	0	0	0	False	False	False	ec42de3311a8818bd9e30a8d4141bf3d84d5134c73cd3a73936d38a30eab520c	sealed_fresh_physical_id_and_geometry
locked_validation	463	QUCTc6BB5sX	medium	0	0	0	False	False	False	20ac91d9de01218b3d592da381fd6c3f1ccf3c0be3a0501d21d063d702e717e2	sealed_fresh_physical_id_and_geometry
locked_validation	573	QUCTc6BB5sX	long	0	0	0	False	False	False	bffe6989b0d16ab4cda64cc666696132c7933616f32c2804a851e1ebd83890d5	sealed_fresh_physical_id_and_geometry
locked_validation	610	QUCTc6BB5sX	medium	0	0	0	False	False	False	92b9fc876af075d175329ce00df8c87d802e0f230054d2133c154fc0ce4cf835	sealed_fresh_physical_id_and_geometry
locked_validation	396	QUCTc6BB5sX	long	0	0	0	False	False	False	e2d8e2f8d4e3ab04f2209e7a9c612d6a9eeead23461b0b86795dc336d248149e	sealed_fresh_physical_id_and_geometry
locked_validation	291	TbHJrupSAjP	long	0	0	0	False	False	False	4e98550cb0a7e1648ecac5a846070c74bfdecded8528d73a451950a4a60ab42f	sealed_fresh_physical_id_and_geometry
locked_validation	226	TbHJrupSAjP	long	0	0	0	False	False	False	3f8e58ce2891b9267bd8f4ae644c0e6f27899828fac0581f04dbee234140899f	sealed_fresh_physical_id_and_geometry
locked_validation	735	zsNo4HB9uLZ	long	0	0	0	False	False	False	2ecce1829ea6a36969e1f6409e19834b51ee5d15763c677f49b9334ada0ab552	sealed_fresh_physical_id_and_geometry
locked_validation	399	zsNo4HB9uLZ	medium	0	0	0	False	False	False	7470aee188e2a476beaa0090cdef4312d97ea05a12bc2ac6e6711cb23f3c21cf	sealed_fresh_physical_id_and_geometry
locked_validation	593	zsNo4HB9uLZ	long	0	0	0	False	False	False	03f4b60a071dadb6faf00e7337da2c74efec6408f537dd329f248cb5b238dafc	sealed_fresh_physical_id_and_geometry
locked_validation	895	zsNo4HB9uLZ	medium	0	0	0	False	False	False	6aeb54e3c64bc9d139dccd4611eb9cef14892d92a2ec57144242f4c208841d18	sealed_fresh_physical_id_and_geometry
locked_validation	228	zsNo4HB9uLZ	long	0	0	0	False	False	False	b17b071da8ed3da07b9e3d5c717d2fc7c1b559c5c821ded7b0f8fd9c139a41a7	sealed_fresh_physical_id_and_geometry
locked_validation	376	zsNo4HB9uLZ	medium	0	0	0	False	False	False	13d988d4eb46f59b6a851de18a52c6c872e6058821863e1147a0b0ff019f11f5	sealed_fresh_physical_id_and_geometry
