episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	vlm_port	start_time	end_time	exit_code	result_suffix	vlm_log	eval_log	measurement_file	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal	trajectory_record_count
87	127	EU6Fwq7SyZv	288	460	5	1.348777	4.614529	54087	2026-08-01T13:46:51+01:00	2026-08-01T14:40:52+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep87	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep87_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep87_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep87/measurements/126.json	True	False	False	2.5061163902282715	1.0074737071990967	6777
88	128	EU6Fwq7SyZv	288	460	5	1.348777	2.292637	54088	2026-08-01T14:40:52+01:00	2026-08-01T15:19:54+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep88	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep88_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep88_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep88/measurements/127.json	True	False	False	2.563624143600464	0.8011718392372131	6702
134	195	2azQ1b91cZZ	756	1288	7	0.258000	8.337229	54134	2026-08-01T15:19:54+01:00	2026-08-01T15:22:46+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep134	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep134_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep134_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep134/measurements/194.json	False	False	False	6.224308967590332	None	2502
310	500	QUCTc6BB5sX	792	1351	5	0.368796	9.363973	54310	2026-08-01T15:22:46+01:00	2026-08-01T15:37:54+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep310	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep310_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep310_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep310/measurements/499.json	True	True	True	2.9867289066314697	0.44339168071746826	3412
678	1165	zsNo4HB9uLZ	612	1069	7	0.000000	12.981381	54678	2026-08-01T15:37:54+01:00	2026-08-01T16:00:48+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep678	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep678_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep678_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep678/measurements/1164.json	True	False	False	4.053602695465088	0.3079068958759308	4922
4	8	x8F5xyUWy9e	354	583	5	0.000000	10.248705	54004	2026-08-01T16:00:49+01:00	2026-08-01T16:54:09+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep4	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep4_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep4_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep4/measurements/7.json	True	False	False	7.394006729125977	1.630487084388733	6577
187	281	EU6Fwq7SyZv	447	754	6	0.433000	10.897436	54187	2026-08-01T16:54:09+01:00	2026-08-01T16:57:28+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep187	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep187_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep187_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep187/measurements/280.json	False	False	False	9.971312522888184	None	2502
994	1700	QUCTc6BB5sX	105	151	7	0.000000	12.657429	54994	2026-08-01T16:57:28+01:00	2026-08-01T17:21:52+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep994	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep994_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep994_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep994/measurements/1699.json	True	True	True	0.7330750823020935	0.8387287259101868	4687
680	1167	zsNo4HB9uLZ	612	1069	7	0.000000	12.981381	54680	2026-08-01T17:21:52+01:00	2026-08-01T17:44:05+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep680	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep680_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep680_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep680/measurements/1166.json	True	True	True	1.1519607305526733	0.3795335590839386	4437
579	1006	2azQ1b91cZZ	93	139	5	0.000000	13.760632	54579	2026-08-01T17:44:05+01:00	2026-08-01T18:03:29+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep579	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep579_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep579_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep579/measurements/1005.json	True	True	True	2.148979902267456	1.5237536430358887	3887
