run_order	episode_idx	historical_outbound_successes	historical_outbound_trials	historical_outbound_rate	historical_return_successes	return_data_split	selection_note
1	368	40	40	1.000	33	train	canary
2	87	4	6	0.667	2	validation	terminal_far_priority
3	88	7	7	1.000	4	validation	terminal_far_priority
4	134	9	33	0.273	6	train	terminal_far_priority_and_immediately_preceding_round_trip_success
5	310	7	7	1.000	5	train	terminal_boundary_priority
6	678	20	29	0.690	17	test	terminal_far_priority
7	4	50	51	0.980	35	train	high_yield
8	187	49	55	0.891	31	validation	high_yield
9	994	43	44	0.977	33	train	high_yield
10	680	44	50	0.880	37	test	high_yield
11	579	8	8	1.000	8	train	high_yield
12	539	7	7	1.000	4	train	high_yield
13	367	34	34	1.000	17	train	high_yield
14	5	37	37	1.000	14	train	high_yield
15	89	15	15	1.000	4	validation	high_yield
16	351	7	7	1.000	5	train	high_yield
17	264	7	7	1.000	0	test	high_yield
18	95	7	7	1.000	1	train	high_yield
19	962	4	4	1.000	3	train	high_yield
20	1040	30	33	0.909	30	train	high_yield
21	647	13	13	1.000	13	train	high_yield
22	276	6	7	0.857	0	validation	high_yield
23	658	6	6	1.000	5	train	high_yield
24	484	5	5	1.000	4	test	high_yield
25	581	6	6	1.000	3	train	high_yield
26	961	3	3	1.000	1	train	high_yield
27	1038	12	12	1.000	7	train	high_yield
28	646	6	6	1.000	3	train	high_yield
29	764	2	3	0.667	1	validation	qualified_yield
30	268	13	13	1.000	8	train	high_yield
31	844	3	3	1.000	1	test	high_yield
32	427	6	6	1.000	2	train	high_yield
33	688	9	9	1.000	8	train	high_yield
34	815	4	4	1.000	4	train	high_yield
35	888	4	4	1.000	4	validation	high_yield
36	214	4	8	0.500	1	train	qualified_yield
37	500	9	15	0.600	5	test	qualified_yield
38	93	6	7	0.857	0	train	high_yield
39	671	8	8	1.000	5	train	high_yield
40	19	6	7	0.857	0	train	high_yield
41	420	6	10	0.600	3	test	qualified_yield
42	205	11	11	1.000	2	train	high_yield
43	490	6	6	1.000	3	train	high_yield
44	355	4	5	0.800	2	train	high_yield
45	196	4	7	0.571	1	test	qualified_yield
46	1062	3	3	1.000	0	train	high_yield
47	669	5	5	1.000	3	train	high_yield
48	687	5	7	0.714	5	train	qualified_yield
49	489	4	5	0.800	3	train	high_yield
50	366	6	6	1.000	1	train	high_yield
