episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	vlm_port	start_time	end_time	exit_code	result_suffix	vlm_log	eval_log	measurement_file	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal	trajectory_record_count
4	8	x8F5xyUWy9e	354	583	5	0.000000	10.248705	56325	2026-08-10T14:06:37+01:00	2026-08-10T14:07:00+01:00	98	pure_navila_baseline_100ep_20260810_ep4	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep4_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep4_eval.log							
5	9	x8F5xyUWy9e	354	583	5	0.000000	10.248705	56326	2026-08-10T14:07:00+01:00	2026-08-10T14:10:08+01:00	0	pure_navila_baseline_100ep_20260810_ep5	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep5_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep5_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep5/measurements/8.json	True	False	False	9.567606925964355	0.14943209290504456	3404
134	195	2azQ1b91cZZ	756	1288	7	0.258000	8.337229	56455	2026-08-10T14:10:08+01:00	2026-08-10T14:12:33+01:00	0	pure_navila_baseline_100ep_20260810_ep134	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep134_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep134_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep134/measurements/194.json	False	False	False	8.02698040008545	None	2502
187	281	EU6Fwq7SyZv	447	754	6	0.433000	10.897436	56508	2026-08-10T14:12:33+01:00	2026-08-10T14:15:13+01:00	0	pure_navila_baseline_100ep_20260810_ep187	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep187_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep187_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep187/measurements/280.json	False	False	False	9.3163480758667	None	2502
367	602	X7HyMhZNoso	1038	1759	7	0.000000	6.916351	56688	2026-08-10T14:15:13+01:00	2026-08-10T14:18:10+01:00	0	pure_navila_baseline_100ep_20260810_ep367	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep367_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep367_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep367/measurements/601.json	True	False	False	5.27901554107666	1.0334663391113281	3227
368	603	X7HyMhZNoso	1038	1759	7	0.000000	6.916351	56689	2026-08-10T14:18:10+01:00	2026-08-10T14:23:43+01:00	0	pure_navila_baseline_100ep_20260810_ep368	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep368_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep368_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep368/measurements/602.json	True	False	False	5.251015663146973	0.22687745094299316	7027
408	682	oLBMNvg9in8	522	907	4	0.761000	5.976311	56729	2026-08-10T16:44:15+01:00	2026-08-10T16:46:21+01:00	0	pure_navila_baseline_100ep_20260810_ep408	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep408_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep408_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep408/measurements/681.json	False	False	False	2.125422239303589	None	1666
678	1165	zsNo4HB9uLZ	612	1069	7	0.000000	12.981381	56999	2026-08-10T16:46:21+01:00	2026-08-10T16:48:42+01:00	0	pure_navila_baseline_100ep_20260810_ep678	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep678_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep678_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep678/measurements/1164.json	False	False	False	6.021758556365967	None	2502
680	1167	zsNo4HB9uLZ	612	1069	7	0.000000	12.981381	57001	2026-08-10T16:48:42+01:00	2026-08-10T16:52:08+01:00	0	pure_navila_baseline_100ep_20260810_ep680	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep680_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep680_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep680/measurements/1166.json	True	True	True	1.9241470098495483	0.5869145393371582	4127
994	1700	QUCTc6BB5sX	105	151	7	0.000000	12.657429	57315	2026-08-10T16:52:08+01:00	2026-08-10T16:56:05+01:00	0	pure_navila_baseline_100ep_20260810_ep994	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep994_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep994_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep994/measurements/1699.json	True	True	True	1.2008845806121826	1.0399466753005981	4652
1040	1761	X7HyMhZNoso	366	601	7	0.000000	6.916351	57361	2026-08-10T16:56:05+01:00	2026-08-10T16:59:54+01:00	0	pure_navila_baseline_100ep_20260810_ep1040	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep1040_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep1040_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep1040/measurements/1760.json	True	True	True	2.477515935897827	0.9927946925163269	4277
