bytes	files	directory
2093871794	2368	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep1038/icp_replay_dataset
1882400003	2110	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep1040/icp_replay_dataset
1068581527	1172	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep187/icp_replay_dataset
1496397724	1802	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep264/icp_replay_dataset
1865069875	1879	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep276/icp_replay_dataset
1309087909	1484	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep310/icp_replay_dataset
2150783080	2580	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep351/icp_replay_dataset
1581669039	1778	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep367/icp_replay_dataset
371516971	439	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep484/icp_replay_dataset
1046697693	1170	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep539/icp_replay_dataset
1760767698	2025	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep579/icp_replay_dataset
2251834494	2597	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep581/icp_replay_dataset
1166881269	1386	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep5/icp_replay_dataset
740999367	821	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep646/icp_replay_dataset
782029584	865	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep647/icp_replay_dataset
1540989236	1688	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep658/icp_replay_dataset
1996804456	2287	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep680/icp_replay_dataset
54113928	26	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep764/icp_replay_dataset
3093530344	3296	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep87/icp_replay_dataset
1182859118	1243	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep88/icp_replay_dataset
4032736391	4282	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep89/icp_replay_dataset
1719081028	1980	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep95/icp_replay_dataset
840858851	982	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep961/icp_replay_dataset
1015714966	1188	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep962/icp_replay_dataset
2276249598	2794	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_batch49_20260802_ep994/icp_replay_dataset
1895198582	2156	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_canary_20260802_ep368/icp_replay_dataset
1895229539	2156	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_canary_20260802_retry_direction_fix_ep368/icp_replay_dataset
1849821265	2099	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_canary_20260802_retry_equal_pair_fix_ep368/icp_replay_dataset
53085176	19	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recovery10_20260804_ep268/icp_replay_dataset
43131928	16	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recovery10_20260804_ep367/icp_replay_dataset
42724678	15	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recovery10_20260804_ep4/icp_replay_dataset
48691810	17	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recovery10_20260804_ep5/icp_replay_dataset
36338184	13	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recovery10_20260804_ep658/icp_replay_dataset
59002144	21	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recovery10_20260804_ep680/icp_replay_dataset
24903853	9	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recovery10_20260804_ep89/icp_replay_dataset
62984048	21	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recovery10_20260804_ep95/icp_replay_dataset
31767166	12	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recovery10_20260804_ep961/icp_replay_dataset
55680691	20	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recovery10_20260804_ep994/icp_replay_dataset
324978411	382	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_20260805_tail29_ep264/icp_replay_dataset
3368390837	3845	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_20260805_tail29_ep87/icp_replay_dataset
1541873335	1768	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_20260805_tail29_ep95/icp_replay_dataset
2007845885	2273	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep1040/icp_replay_dataset
999978667	1094	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep187/icp_replay_dataset
5158816608	5952	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep214/icp_replay_dataset
424144002	509	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep264/icp_replay_dataset
2279572574	2732	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep268/icp_replay_dataset
960156697	1080	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep276/icp_replay_dataset
1791363241	2099	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep310/icp_replay_dataset
2303859267	2808	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep351/icp_replay_dataset
3091847785	3563	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep367/icp_replay_dataset
1166145099	1339	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep484/icp_replay_dataset
1453414370	1523	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep4/icp_replay_dataset
2011608401	2138	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep500/icp_replay_dataset
4980970907	5670	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep539/icp_replay_dataset
1876552573	2127	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep579/icp_replay_dataset
745073940	870	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep5/icp_replay_dataset
866368096	956	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep646/icp_replay_dataset
1688150860	1856	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep658/icp_replay_dataset
3129102558	3503	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep688/icp_replay_dataset
4278199713	4605	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep844/icp_replay_dataset
3351598053	3881	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep87/icp_replay_dataset
1304032838	1461	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep888/icp_replay_dataset
1795713380	1916	eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_anchor_v2_full_active_recoveryfix30_rerun2_20260807_ep88/icp_replay_dataset
