episode_id,episode_idx,L,OH,OHA,FO,ON,GEO,success_count_6,all_success_6,all_failure_6,flipped_6,first_action_divergence_query_index,first_action_divergence_pair
1368,806,1,1,1,1,1,1,6,1,0,0,,
798,470,1,1,1,1,1,0,5,0,0,1,2,L-OH
1118,646,1,1,1,1,1,1,6,1,0,0,,
1517,889,1,1,1,0,1,1,5,0,0,1,0,FO-GEO
899,517,1,1,1,1,1,1,6,1,0,0,,
141,95,1,0,1,1,1,1,5,0,0,1,0,L-OH
523,324,1,1,1,1,1,1,6,1,0,0,,
1643,961,1,1,1,1,1,1,6,1,0,0,,
1644,962,1,1,0,1,1,1,5,0,0,1,0,L-OHA
1439,844,1,1,1,1,1,1,6,1,0,0,,
958,555,1,0,1,1,1,1,5,0,0,1,0,L-OH
1153,669,1,1,1,1,1,1,6,1,0,0,,
1154,670,1,1,1,1,1,1,6,1,0,0,,
602,367,1,1,0,1,1,1,5,0,0,1,6,L-OH
1006,579,1,1,1,1,1,1,6,1,0,0,,
827,484,1,0,1,1,1,1,5,0,0,1,0,L-OH
9,5,1,1,1,1,1,1,6,1,0,0,,
1189,696,1,1,1,1,1,1,6,1,0,0,,
128,88,1,1,1,1,1,1,6,1,0,0,,
922,534,1,1,1,1,1,1,6,1,0,0,,
1119,647,1,1,0,1,1,1,5,0,0,1,0,L-OHA
129,89,1,1,1,1,1,1,6,1,0,0,,
422,268,1,1,1,1,1,1,6,1,0,0,,
1759,1038,1,1,1,1,1,1,6,1,0,0,,
314,205,1,1,1,0,1,1,5,0,0,1,0,FO-GEO
1155,671,1,1,1,1,1,1,6,1,0,0,,
1178,688,1,0,1,1,1,1,5,0,0,1,0,FO-GEO
512,319,1,1,1,0,1,1,5,0,0,1,0,FO-GEO
418,264,1,1,1,1,1,1,6,1,0,0,,
1139,658,1,1,1,1,1,0,5,0,0,1,0,FO-GEO
500,310,1,1,1,1,1,1,6,1,0,0,,
577,351,1,1,1,1,1,1,6,1,0,0,,
930,539,1,1,1,0,1,1,5,0,0,1,0,FO-GEO
1008,581,1,1,1,1,1,1,6,1,0,0,,
601,366,1,1,1,1,1,1,6,1,0,0,,
854,490,1,1,1,1,1,1,6,1,0,0,,
1516,888,1,1,1,1,1,1,6,1,0,0,,
1380,815,1,1,1,1,1,1,6,1,0,0,,
33,20,1,1,1,1,1,1,6,1,0,0,,
1378,813,1,1,1,1,1,1,6,1,0,0,,
286,189,1,0,1,1,1,1,5,0,0,1,0,FO-GEO
1336,783,1,1,0,1,1,1,5,0,0,1,0,L-OHA
1337,784,1,1,1,0,1,1,5,0,0,1,0,FO-GEO
1338,785,1,1,1,0,1,1,5,0,0,1,0,FO-GEO
1713,1004,1,0,1,1,0,0,3,0,0,1,0,FO-GEO
1801,1062,1,0,1,1,1,1,5,0,0,1,0,L-OH
126,86,1,1,1,1,1,1,6,1,0,0,,
428,271,1,1,0,0,1,0,3,0,0,1,0,FO-GEO
810,479,1,1,1,1,1,1,6,1,0,0,,
1137,656,1,1,0,1,1,1,5,0,0,1,0,L-OHA
