episode_id,episode_idx,step,record_type,target_anchor_index,true_bearing_deg,true_kind,override_kind,verdict,return_success,episode_override_count,episode_wrong_count,episode_wrong_rate,episode_longest_wrong_run
798,470,1876,executed_override,12,0.004123675493105112,forward,forward,correct,1,1,0,0.0,0
1118,646,1351,executed_override,8,-0.14727391311285037,forward,forward,correct,0,16,0,0.0,0
1118,646,1501,executed_override,8,176.13874016669254,left,left,correct,0,16,0,0.0,0
1118,646,1576,executed_override,8,145.37004898955612,left,left,correct,0,16,0,0.0,0
1118,646,1651,executed_override,8,113.65397556134802,left,left,correct,0,16,0,0.0,0
1118,646,1776,executed_override,8,65.02299999066966,left,left,correct,0,16,0,0.0,0
1118,646,2301,executed_override,8,163.32613503534773,left,left,correct,0,16,0,0.0,0
1118,646,2376,executed_override,8,-164.24198300219024,right,right,correct,0,16,0,0.0,0
1118,646,2601,executed_override,8,-146.41816627228815,right,right,correct,0,16,0,0.0,0
1118,646,2676,executed_override,8,-116.25213550439842,right,right,correct,0,16,0,0.0,0
1118,646,2751,executed_override,8,-86.16758748519794,right,right,correct,0,16,0,0.0,0
1118,646,2826,executed_override,8,-57.253550172063925,right,right,correct,0,16,0,0.0,0
1118,646,2901,executed_override,8,-28.009923890932424,right,right,correct,0,16,0,0.0,0
1118,646,2976,executed_override,8,0.48165819336115334,forward,forward,correct,0,16,0,0.0,0
1118,646,3051,executed_override,8,-4.8013856037685985,forward,forward,correct,0,16,0,0.0,0
1118,646,3126,executed_override,8,-11.708648182704307,forward,forward,correct,0,16,0,0.0,0
1118,646,3201,executed_override,8,-24.285943570855068,right,right,correct,0,16,0,0.0,0
1517,889,2026,executed_override,6,-99.41774430736784,right,right,correct,1,4,0,0.0,0
1517,889,2101,executed_override,6,-75.74701885782947,right,right,correct,1,4,0,0.0,0
1517,889,2176,executed_override,6,-51.50495346684838,right,right,correct,1,4,0,0.0,0
1517,889,2276,executed_override,5,28.73602223976072,left,left,correct,1,4,0,0.0,0
899,517,2151,executed_override,5,-110.76537327190415,right,right,correct,1,2,0,0.0,0
899,517,2226,executed_override,3,29.764976513037286,left,left,correct,1,2,0,0.0,0
141,95,2351,executed_override,16,-0.2627037888537213,forward,forward,correct,0,2,1,0.5,1
141,95,2951,executed_override,10,-15.909056175298591,right,forward,wrong,0,2,1,0.5,1
523,324,1901,executed_override,12,-0.6512750691992509,forward,forward,correct,0,1,0,0.0,0
1643,961,1626,executed_override,7,-0.7193426832448153,forward,forward,correct,0,2,0,0.0,0
1643,961,1701,executed_override,7,-7.738666041107138,forward,forward,correct,0,2,0,0.0,0
1644,962,1676,executed_override,9,0.27592711722757446,forward,forward,correct,1,4,0,0.0,0
1644,962,2476,executed_override,2,-6.282214814258948,forward,forward,correct,1,4,0,0.0,0
1644,962,2551,executed_override,2,-15.45614307709895,right,right,correct,1,4,0,0.0,0
1644,962,2626,executed_override,1,42.945929433556984,left,left,correct,1,4,0,0.0,0
1439,844,2176,executed_override,2,-31.837469286584348,right,forward,wrong,1,1,1,1.0,1
958,555,1601,executed_override,9,-0.5620678664527116,forward,forward,correct,0,1,0,0.0,0
1153,669,1501,executed_override,8,-0.6017224710665794,forward,forward,correct,1,4,0,0.0,0
1153,669,1951,executed_override,5,-11.97878017953839,forward,forward,correct,1,4,0,0.0,0
1153,669,2176,executed_override,5,-169.79402154489344,right,right,correct,1,4,0,0.0,0
1153,669,2326,executed_override,3,4.152184804758478,forward,forward,correct,1,4,0,0.0,0
1154,670,1701,executed_override,9,-0.5160779362609129,forward,forward,correct,0,11,0,0.0,0
1154,670,1876,executed_override,9,-178.46884741355484,right,right,correct,0,11,0,0.0,0
1154,670,1951,executed_override,9,-150.25347256101404,right,right,correct,0,11,0,0.0,0
1154,670,2026,executed_override,9,-125.02467654334177,right,right,correct,0,11,0,0.0,0
1154,670,2176,executed_override,9,-76.29554389590724,right,right,correct,0,11,0,0.0,0
1154,670,2251,executed_override,9,-51.635631101695786,right,right,correct,0,11,0,0.0,0
1154,670,2326,executed_override,9,-27.742680876807274,right,right,correct,0,11,0,0.0,0
1154,670,2401,executed_override,9,-1.5597435815022445,forward,forward,correct,0,11,0,0.0,0
1154,670,2551,executed_override,7,138.3564145264924,left,left,correct,0,11,0,0.0,0
1154,670,2626,executed_override,7,174.6498946445794,left,left,correct,0,11,0,0.0,0
1154,670,2701,executed_override,7,-151.12803604424528,right,right,correct,0,11,0,0.0,0
602,367,3101,executed_override,10,94.17803161197449,left,left,correct,1,5,0,0.0,0
602,367,3176,executed_override,10,124.02711799741874,left,left,correct,1,5,0,0.0,0
602,367,3426,executed_override,10,18.819594583233577,left,left,correct,1,5,0,0.0,0
602,367,3501,executed_override,10,-13.01032494816427,forward,forward,correct,1,5,0,0.0,0
602,367,4051,executed_override,7,-11.645476130161612,forward,forward,correct,1,5,0,0.0,0
1006,579,2151,executed_override,15,0.012308539588062956,forward,forward,correct,1,5,0,0.0,0
1006,579,3301,executed_override,7,-61.86535962979494,right,right,correct,1,5,0,0.0,0
1006,579,3376,executed_override,7,-36.46872926728761,right,right,correct,1,5,0,0.0,0
1006,579,3451,executed_override,7,-9.974752857993957,forward,forward,correct,1,5,0,0.0,0
1006,579,3526,executed_override,6,45.04190853353451,left,left,correct,1,5,0,0.0,0
827,484,1551,executed_override,8,-0.6101802448666925,forward,forward,correct,1,3,2,0.6666666666666666,2
827,484,2426,executed_override,1,-117.49644079573197,right,forward,wrong,1,3,2,0.6666666666666666,2
827,484,2501,executed_override,1,-166.47780007290544,right,forward,wrong,1,3,2,0.6666666666666666,2
1189,696,1551,executed_override,10,-0.363026617716732,forward,forward,correct,0,2,0,0.0,0
1189,696,1876,executed_override,9,-179.55522061062047,right,right,correct,0,2,0,0.0,0
128,88,1751,executed_override,5,-0.17427983359713722,forward,forward,correct,0,2,1,0.5,1
128,88,6551,guard_blocked_override,1,-66.7131807970658,right,left,wrong,0,2,1,0.5,1
922,534,2001,executed_override,11,0.18074000296797135,forward,forward,correct,0,1,0,0.0,0
1119,647,1251,executed_override,7,-0.6583669313939732,forward,forward,correct,1,1,0,0.0,0
422,268,2001,executed_override,14,-7.870434539360451,forward,forward,correct,1,2,0,0.0,0
422,268,2476,executed_override,9,-13.411331116443153,forward,forward,correct,1,2,0,0.0,0
314,205,1876,executed_override,12,-0.526164504207767,forward,forward,correct,0,3,0,0.0,0
314,205,2051,executed_override,10,-12.660339858402283,forward,forward,correct,0,3,0,0.0,0
314,205,2926,executed_override,2,-62.32386605076547,right,right,correct,0,3,0,0.0,0
1155,671,1526,executed_override,8,-0.5584473843673364,forward,forward,correct,1,5,1,0.2,1
1155,671,1701,executed_override,7,-75.2261378328345,right,right,correct,1,5,1,0.2,1
1155,671,2126,executed_override,4,-45.84726227115821,right,right,correct,1,5,1,0.2,1
1155,671,2226,executed_override,4,-8.708422444061842,forward,forward,correct,1,5,1,0.2,1
1155,671,2476,executed_override,3,-15.232719859970294,right,forward,wrong,1,5,1,0.2,1
512,319,1826,executed_override,5,-165.8598798203155,right,right,correct,0,8,0,0.0,0
512,319,1901,executed_override,5,-140.23735192655334,right,right,correct,0,8,0,0.0,0
512,319,2051,executed_override,5,-156.20721314508177,right,right,correct,0,8,0,0.0,0
512,319,2176,guard_blocked_override,5,-157.2727759035028,right,right,correct,0,8,0,0.0,0
512,319,2201,executed_override,5,-171.10135530155546,right,right,correct,0,8,0,0.0,0
512,319,2351,executed_override,5,178.80846595706774,left,left,correct,0,8,0,0.0,0
512,319,2426,executed_override,5,144.74930934224795,left,left,correct,0,8,0,0.0,0
512,319,2501,executed_override,5,116.31968848202298,left,left,correct,0,8,0,0.0,0
418,264,1976,executed_override,14,-0.4542219500067708,forward,forward,correct,0,2,0,0.0,0
418,264,2076,executed_override,13,-34.59388593607007,right,right,correct,0,2,0,0.0,0
1139,658,1876,executed_override,6,-87.33202355365768,right,right,correct,1,1,0,0.0,0
500,310,1901,executed_override,10,-172.25529618754837,right,right,correct,1,2,0,0.0,0
500,310,2001,executed_override,10,-153.293761091706,right,right,correct,1,2,0,0.0,0
577,351,2601,executed_override,17,-0.39144726147856373,forward,forward,correct,1,5,0,0.0,0
577,351,2826,executed_override,15,-59.48913501590087,right,right,correct,1,5,0,0.0,0
577,351,2901,executed_override,15,-38.49708253079837,right,right,correct,1,5,0,0.0,0
577,351,3776,executed_override,7,-31.6797409333657,right,right,correct,1,5,0,0.0,0
577,351,3851,executed_override,7,-4.092891635914783,forward,forward,correct,1,5,0,0.0,0
930,539,1751,executed_override,8,-16.386809603089475,right,right,correct,1,2,0,0.0,0
930,539,1901,executed_override,7,33.6942912940588,left,left,correct,1,2,0,0.0,0
1008,581,2501,executed_override,17,46.626921136120785,left,left,correct,1,4,0,0.0,0
1008,581,2576,executed_override,17,27.20563420043338,left,left,correct,1,4,0,0.0,0
1008,581,2801,executed_override,16,-123.97769349267854,right,right,correct,1,4,0,0.0,0
1008,581,4976,executed_override,1,50.796457073998276,left,left,correct,1,4,0,0.0,0
601,366,2101,executed_override,13,-0.5754718915334075,forward,forward,correct,0,4,0,0.0,0
601,366,2701,executed_override,11,73.54898692128187,left,left,correct,0,4,0,0.0,0
601,366,2776,executed_override,11,46.707024092327664,left,left,correct,0,4,0,0.0,0
