component,n,min,p10,p25,median,p75,p90,max,mean,bin_left,bin_right,bin_count
r_bearing,16418,0.027493006026999223,0.1034738343587327,0.1853704726188919,0.44469380768397104,0.9802264613231695,0.9949735037076269,0.9984085395295479,0.5337539133585344,,,
r_bearing,16418,,,,,,,,,0.0,0.05,158
r_bearing,16418,,,,,,,,,0.05,0.1,1370
r_bearing,16418,,,,,,,,,0.1,0.15000000000000002,1558
r_bearing,16418,,,,,,,,,0.15000000000000002,0.2,1398
r_bearing,16418,,,,,,,,,0.2,0.25,1060
r_bearing,16418,,,,,,,,,0.25,0.30000000000000004,832
r_bearing,16418,,,,,,,,,0.30000000000000004,0.35000000000000003,724
r_bearing,16418,,,,,,,,,0.35000000000000003,0.4,661
r_bearing,16418,,,,,,,,,0.4,0.45,507
r_bearing,16418,,,,,,,,,0.45,0.5,453
r_bearing,16418,,,,,,,,,0.5,0.55,390
r_bearing,16418,,,,,,,,,0.55,0.6000000000000001,335
r_bearing,16418,,,,,,,,,0.6000000000000001,0.65,331
r_bearing,16418,,,,,,,,,0.65,0.7000000000000001,294
r_bearing,16418,,,,,,,,,0.7000000000000001,0.75,340
r_bearing,16418,,,,,,,,,0.75,0.8,284
r_bearing,16418,,,,,,,,,0.8,0.8500000000000001,258
r_bearing,16418,,,,,,,,,0.8500000000000001,0.9,274
r_bearing,16418,,,,,,,,,0.9,0.9500000000000001,377
r_bearing,16418,,,,,,,,,0.9500000000000001,1.0,4814
r_distance,16418,0.003061360399920776,0.02576846978085006,0.08126345731102824,0.24957212111612337,0.9955848516152379,0.9988741003974116,0.9995865500668647,0.46453922973380257,,,
r_distance,16418,,,,,,,,,0.0,0.05,2671
r_distance,16418,,,,,,,,,0.05,0.1,2362
r_distance,16418,,,,,,,,,0.1,0.15000000000000002,1737
r_distance,16418,,,,,,,,,0.15000000000000002,0.2,888
r_distance,16418,,,,,,,,,0.2,0.25,554
r_distance,16418,,,,,,,,,0.25,0.30000000000000004,452
r_distance,16418,,,,,,,,,0.30000000000000004,0.35000000000000003,324
r_distance,16418,,,,,,,,,0.35000000000000003,0.4,246
r_distance,16418,,,,,,,,,0.4,0.45,204
r_distance,16418,,,,,,,,,0.45,0.5,157
r_distance,16418,,,,,,,,,0.5,0.55,139
r_distance,16418,,,,,,,,,0.55,0.6000000000000001,153
r_distance,16418,,,,,,,,,0.6000000000000001,0.65,141
r_distance,16418,,,,,,,,,0.65,0.7000000000000001,135
r_distance,16418,,,,,,,,,0.7000000000000001,0.75,146
r_distance,16418,,,,,,,,,0.75,0.8,186
r_distance,16418,,,,,,,,,0.8,0.8500000000000001,179
r_distance,16418,,,,,,,,,0.8500000000000001,0.9,213
r_distance,16418,,,,,,,,,0.9,0.9500000000000001,239
r_distance,16418,,,,,,,,,0.9500000000000001,1.0,5292
r_pose,16418,0.000585690897269564,0.008118943680211255,0.01660797781146256,0.05847123825406153,0.9877947390093064,0.9973618711746524,0.9991517963997323,0.37967568507880384,,,
r_pose,16418,,,,,,,,,0.0,0.05,7841
r_pose,16418,,,,,,,,,0.05,0.1,1235
r_pose,16418,,,,,,,,,0.1,0.15000000000000002,432
r_pose,16418,,,,,,,,,0.15000000000000002,0.2,244
r_pose,16418,,,,,,,,,0.2,0.25,185
r_pose,16418,,,,,,,,,0.25,0.30000000000000004,143
r_pose,16418,,,,,,,,,0.30000000000000004,0.35000000000000003,139
r_pose,16418,,,,,,,,,0.35000000000000003,0.4,104
r_pose,16418,,,,,,,,,0.4,0.45,94
r_pose,16418,,,,,,,,,0.45,0.5,74
r_pose,16418,,,,,,,,,0.5,0.55,81
r_pose,16418,,,,,,,,,0.55,0.6000000000000001,79
r_pose,16418,,,,,,,,,0.6000000000000001,0.65,64
r_pose,16418,,,,,,,,,0.65,0.7000000000000001,80
r_pose,16418,,,,,,,,,0.7000000000000001,0.75,86
r_pose,16418,,,,,,,,,0.75,0.8,73
r_pose,16418,,,,,,,,,0.8,0.8500000000000001,123
r_pose,16418,,,,,,,,,0.8500000000000001,0.9,168
r_pose,16418,,,,,,,,,0.9,0.9500000000000001,266
r_pose,16418,,,,,,,,,0.9500000000000001,1.0,4907
