subset,config,n,episode_ids,return_success_n,SR_ret_given_out,AR_ret_given_out
S_all,L,31,1368 798 1118 899 523 1643 1439 1153 1154 1006 9 1189 128 922 129 422 1759 1155 418 1139 500 577 1008 601 854 1516 1380 33 1378 126 810,8,0.25806451612903225,0.25806451612903225
S_all,OH,31,1368 798 1118 899 523 1643 1439 1153 1154 1006 9 1189 128 922 129 422 1759 1155 418 1139 500 577 1008 601 854 1516 1380 33 1378 126 810,12,0.3870967741935484,0.3870967741935484
S_all,OHA,31,1368 798 1118 899 523 1643 1439 1153 1154 1006 9 1189 128 922 129 422 1759 1155 418 1139 500 577 1008 601 854 1516 1380 33 1378 126 810,21,0.6774193548387096,0.6774193548387096
S_all,FO,31,1368 798 1118 899 523 1643 1439 1153 1154 1006 9 1189 128 922 129 422 1759 1155 418 1139 500 577 1008 601 854 1516 1380 33 1378 126 810,26,0.8387096774193549,0.8387096774193549
S_all,ON,31,1368 798 1118 899 523 1643 1439 1153 1154 1006 9 1189 128 922 129 422 1759 1155 418 1139 500 577 1008 601 854 1516 1380 33 1378 126 810,19,0.6129032258064516,0.6129032258064516
L-OH,L,43,1368 798 1118 1517 899 523 1643 1644 1439 1153 1154 602 1006 9 1189 128 922 1119 129 422 1759 314 1155 512 418 1139 500 577 930 1008 601 854 1516 1380 33 1378 1336 1337 1338 126 428 810 1137,10,0.23255813953488372,0.23255813953488372
L-OH,OH,43,1368 798 1118 1517 899 523 1643 1644 1439 1153 1154 602 1006 9 1189 128 922 1119 129 422 1759 314 1155 512 418 1139 500 577 930 1008 601 854 1516 1380 33 1378 1336 1337 1338 126 428 810 1137,16,0.37209302325581395,0.37209302325581395
OH-OHA,OH,37,1368 798 1118 1517 899 523 1643 1439 1153 1154 1006 9 1189 128 922 129 422 1759 314 1155 512 418 1139 500 577 930 1008 601 854 1516 1380 33 1378 1337 1338 126 810,12,0.32432432432432434,0.32432432432432434
OH-OHA,OHA,37,1368 798 1118 1517 899 523 1643 1439 1153 1154 1006 9 1189 128 922 129 422 1759 314 1155 512 418 1139 500 577 930 1008 601 854 1516 1380 33 1378 1337 1338 126 810,24,0.6486486486486487,0.6486486486486487
OHA-FO,OHA,38,1368 798 1118 899 141 523 1643 1439 958 1153 1154 1006 827 9 1189 128 922 129 422 1759 1155 1178 418 1139 500 577 1008 601 854 1516 1380 33 1378 286 1713 1801 126 810,28,0.7368421052631579,0.7368421052631579
OHA-FO,FO,38,1368 798 1118 899 141 523 1643 1439 958 1153 1154 1006 827 9 1189 128 922 129 422 1759 1155 1178 418 1139 500 577 1008 601 854 1516 1380 33 1378 286 1713 1801 126 810,33,0.868421052631579,0.868421052631579
FO-ON,FO,42,1368 798 1118 899 141 523 1643 1644 1439 958 1153 1154 602 1006 827 9 1189 128 922 1119 129 422 1759 1155 1178 418 1139 500 577 1008 601 854 1516 1380 33 1378 286 1336 1801 126 810 1137,36,0.8571428571428571,0.8571428571428571
FO-ON,ON,42,1368 798 1118 899 141 523 1643 1644 1439 958 1153 1154 602 1006 827 9 1189 128 922 1119 129 422 1759 1155 1178 418 1139 500 577 1008 601 854 1516 1380 33 1378 286 1336 1801 126 810 1137,25,0.5952380952380952,0.5952380952380952
