episode_idx,episode_id,d_e,d_min,return_stop_issued,success_requires_stop
5,9,8.878586769104004,8.777265548706055,False,True
89,129,5.36669921875,2.200251817703247,True,True
205,314,3.4135708808898926,2.74717378616333,True,True
88,128,5.183632850646973,2.382495403289795,False,True
319,512,7.0436930656433105,2.2444040775299072,True,True
579,1006,5.385871887207031,5.385871887207031,False,True
264,418,5.666078090667725,5.666078090667725,True,True
539,930,5.95425271987915,3.3117644786834717,True,True
581,1008,3.3115549087524414,3.3115549087524414,True,True
490,854,6.1642842292785645,3.4400670528411865,True,True
962,1644,3.8732426166534424,2.132274866104126,True,True
815,1380,4.279936790466309,4.256498336791992,True,True
961,1643,3.8610246181488037,2.1912145614624023,True,True
20,33,5.459573268890381,3.930104970932007,True,True
670,1154,7.052464962005615,2.601699113845825,True,True
696,1189,3.62491774559021,3.62491774559021,True,True
844,1439,1.9809097051620483,1.957274079322815,False,True
783,1336,3.838003158569336,3.838003158569336,True,True
784,1337,3.948383092880249,3.948383092880249,True,True
889,1517,3.2370026111602783,2.769575834274292,True,True
785,1338,3.838003158569336,3.838003158569336,True,True
86,126,13.040030479431152,8.477310180664062,True,True
324,523,6.4216108322143555,6.2962775230407715,True,True
479,810,11.400519371032715,6.971290588378906,True,True
517,899,6.668491840362549,3.3815321922302246,True,True
534,922,5.708266258239746,3.6900031566619873,True,True
806,1368,4.946372032165527,0.6827700138092041,True,True
829,1406,5.178975582122803,4.851943016052246,False,True
18,31,7.707080364227295,7.477992534637451,False,True
226,359,8.493910789489746,6.675936222076416,True,True
228,361,3.365359306335449,2.54136061668396,True,True
266,420,5.774373531341553,5.774373531341553,True,True
291,472,8.54727840423584,6.224395751953125,False,True
304,494,0.0,0.0,False,True
426,718,3.9167065620422363,1.4608181715011597,True,True
428,720,11.300047874450684,2.248594045639038,False,True
463,785,14.88156795501709,6.85825777053833,True,True
476,807,6.6046342849731445,5.517712116241455,False,True
566,978,3.3087077140808105,0.011600336991250515,True,True
733,1256,12.768178939819336,0.5731434226036072,True,True
738,1264,16.5271053314209,13.691174507141113,True,True
1002,1711,3.9582302570343018,3.7994396686553955,True,True
4,8,10.86423397064209,8.760923385620117,False,True
994,1700,4.380245685577393,4.380245685577393,True,True
368,603,7.450560569763184,6.567316055297852,False,True
295,476,8.454742431640625,6.041402816772461,True,True
276,442,9.43173885345459,9.425217628479004,False,True
427,719,2.635852336883545,2.2613184452056885,False,True
19,32,5.502257823944092,3.930104970932007,True,True
489,853,6.33724308013916,3.542900562286377,True,True
491,855,6.24753999710083,3.495492458343506,True,True
344,564,8.641373634338379,8.551572799682617,False,True
498,868,7.742419242858887,5.285170555114746,False,True
653,1134,5.587227821350098,4.177052021026611,False,True
