episode_id	attempts	successes	success_rate	episode_idx	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	source_batch
9	45	45	1.0000	5	x8F5xyUWy9e	354	583	5	0.000000	10.248705	pure_oracle_hint_100ep_20260811
602	43	43	1.0000	367	X7HyMhZNoso	1038	1759	7	0.000000	6.916351	pure_oracle_hint_100ep_20260811
1119	21	21	1.0000	647	x8F5xyUWy9e	354	583	4	0.475000	8.374983	pure_oracle_hint_100ep_20260811
129	20	20	1.0000	89	EU6Fwq7SyZv	288	460	5	1.349000	2.292637	pure_oracle_hint_100ep_20260811
422	20	20	1.0000	268	QUCTc6BB5sX	435	739	6	0.000000	8.807060	pure_oracle_hint_100ep_20260811
1759	18	18	1.0000	1038	X7HyMhZNoso	366	601	7	0.000000	6.916351	pure_oracle_hint_100ep_20260811
314	14	14	1.0000	205	2azQ1b91cZZ	807	1372	0	0.000000	0.000000	line2_50ep_historical_outbound_rerun1_20260807
128	13	13	1.0000	88	EU6Fwq7SyZv	288	460	5	1.348777	2.292637	pure_oracle_hint_100ep_20260811
1155	13	13	1.0000	671	X7HyMhZNoso	681	1168	0	0.000000	0.000000	line2_50ep_historical_outbound_rerun1_20260807
1178	13	13	1.0000	688	X7HyMhZNoso	783	1336	4	0.000000	5.328553	anchor_v2_full_active_recoveryfix30_rerun2_20260807
141	12	12	1.0000	95	2azQ1b91cZZ	579	1006	5	0.000000	13.368412	line2_50ep_historical_outbound_missing32_20260808
512	12	12	1.0000	319	2azQ1b91cZZ	429	721	4	0.000000	2.920037	pure_oracle_hint_100ep_20260811
1006	12	12	1.0000	579	2azQ1b91cZZ	93	139	5	0.000000	13.760632	line2_50ep_historical_outbound_missing32_20260808
418	11	11	1.0000	264	zsNo4HB9uLZ	639	1108	6	0.000000	12.458867	line2_50ep_historical_outbound_missing32_20260808
1139	11	11	1.0000	658	QUCTc6BB5sX	660	1141	5	0.000000	7.587837	line2_50ep_historical_outbound_missing32_20260808
500	10	10	1.0000	310	QUCTc6BB5sX	792	1351	5	0.368796	9.363973	anchor_v2_full_active_recoveryfix30_rerun2_20260807
577	10	10	1.0000	351	QUCTc6BB5sX	105	151	5	0.000000	14.125214	anchor_v2_full_active_recoveryfix30_rerun2_20260807
930	10	10	1.0000	539	TbHJrupSAjP	198	307	7	1.519046	7.633810	line2_50ep_historical_outbound_missing32_20260808
1153	9	9	1.0000	669	X7HyMhZNoso	681	1168	5	0.000000	3.276791	pure_oracle_hint_100ep_20260811
827	8	8	1.0000	484	zsNo4HB9uLZ	810	1375	4	0.000000	7.025259	line2_50ep_historical_outbound_missing32_20260808
1008	8	8	1.0000	581	2azQ1b91cZZ	93	139	5	0.000000	13.760632	line2_50ep_historical_outbound_missing32_20260808
1118	8	8	1.0000	646	x8F5xyUWy9e	354	583	4	0.475011	8.570651	anchor_v2_full_active_recoveryfix30_rerun2_20260807
601	7	7	1.0000	366	X7HyMhZNoso	1038	1759	7	0.000000	9.774121	line2_50ep_historical_outbound_missing32_20260808
854	7	7	1.0000	490	X7HyMhZNoso	1038	1759	6	0.190970	8.881821	line2_50ep_historical_outbound_missing32_20260808
1516	7	7	1.0000	888	EU6Fwq7SyZv	276	442	4	1.213044	8.710791	line2_50ep_historical_outbound_missing32_20260808
1644	7	7	1.0000	962	TbHJrupSAjP	291	472	4	0.315807	6.949306	line2_50ep_historical_outbound_missing32_20260808
1380	6	6	1.0000	815	x8F5xyUWy9e	951	1633	4	0.830905	5.487870	line2_50ep_historical_outbound_missing32_20260808
1643	6	6	1.0000	961	TbHJrupSAjP	291	472	4	0.315807	6.949306	line2_50ep_historical_outbound_missing32_20260808
33	5	5	1.0000	20	x8F5xyUWy9e	135	199	4	1.070148	4.718646	pure_oracle_hint_100ep_20260811
1154	5	5	1.0000	670	X7HyMhZNoso	681	1168	5	0.000000	3.276791	pure_oracle_hint_100ep_20260811
1189	5	5	1.0000	696	2azQ1b91cZZ	120	166	5	0.333557	10.149185	pure_oracle_hint_100ep_20260811
1378	5	5	1.0000	813	x8F5xyUWy9e	951	1633	4	0.830905	4.214828	pure_oracle_hint_100ep_20260811
1439	5	5	1.0000	844	zsNo4HB9uLZ	882	1501	5	0.000000	6.517529	line2_50ep_historical_outbound_missing32_20260808
