episode_idx	episode_id	exit_code	outbound_success	return_success	round_trip_success	in_cohort	parse_failure	return_start_step	n_return_decision_steps	n_bearing_conf_missing	r_bearing_withheld	r_bearing_withheld_pct	r_bearing_conf_median	r_bearing_conf_in_085_090	reason_vlm_action_consistent	reason_occupied_in_local_map_path	reason_vlm_conflicts_with_clear_hint	reason_target_too_close	reason_low_relocalization_confidence	reason_v11_consumer_v2_blocked	override_true	override_rate	n_stop_gate_decision_steps	stop_gate_accepted	stop_gate_vetoed	stop_gate_deferred	stop_gate_forced	stop_gate_pass	r_distance_withheld_pct	deferred_low_conf	deferred_high_conf	anchor_promotion_total	anchor_promotion_withheld	route_hint_v11_total	route_hint_v11_withheld	final_stop_gate_decision	terminal_classification
806	1368	0	True	True	True	True		1925	35	0	32	91.42857142857143	0.6097671265403429	1	2	1	0	0	32	0	0	0.0	1	0	0	1	0	34	100.0	1	0	0	0	35	32	deferred	vlm_stop_accepted
470	798	0	True	True	True	True		1875	23	0	22	95.65217391304348	0.410591110803079	2	0	0	1	2	20	0	1	0.043478260869565216	2	0	1	1	0	21	50.0	1	0	30	29	22	13	deferred	vlm_stop_accepted
646	1118	0	True	False	False	True		1350	36	0	3	8.333333333333334	1.0	0	13	1	16	3	3	0	16	0.4444444444444444	1	0	0	1	0	35	100.0	1	0	0	0	36	3	deferred	vlm_stop_accepted
889	1517	0	True	True	True	True		1550	24	0	7	29.166666666666668	1.0	1	9	3	4	1	7	0	4	0.16666666666666666	1	1	0	0	0	23	0.0	0	0	7	0	24	6	accepted	vlm_stop_accepted
517	899	0	True	True	True	True		1525	39	0	31	79.48717948717949	0.2	0	5	1	2	1	30	0	2	0.05128205128205128	1	0	0	1	0	38	100.0	1	0	3	0	26	18	deferred	vlm_stop_accepted
95	141	0	True	False	False	True		2350	17	0	10	58.8235294117647	0.7253965275983015	0	4	0	2	1	10	0	2	0.11764705882352941	1	0	0	1	0	16	100.0	1	0	10	1	16	8	deferred	vlm_stop_accepted
324	523	0	True	False	False	True		1900	13	0	12	92.3076923076923	0.2	0	0	0	1	0	12	0	1	0.07692307692307693	1	0	0	1	0	12	100.0	1	0	1	1	13	12	deferred	vlm_stop_accepted
961	1643	0	True	False	False	True		1625	26	0	22	84.61538461538461	0.2	0	0	0	2	5	19	0	2	0.07692307692307693	1	0	0	1	0	25	100.0	1	0	0	0	25	20	deferred	vlm_stop_accepted
962	1644	0	True	True	True	True		1675	17	0	7	41.1764705882353	1.0	0	2	2	4	2	7	0	4	0.23529411764705882	1	0	0	0	1	16	0.0	0	0	14	8	17	7	forced	forced_no_vlm_stop
844	1439	0	True	True	True	True		1425	17	0	0	0.0	1.0	0	11	1	1	4	0	0	1	0.058823529411764705	1	0	0	0	1	16	0.0	0	0	4	0	17	4	forced	forced_no_vlm_stop
555	958	0	True	False	False	True		1600	31	0	27	87.09677419354838	0.4914853711267413	0	0	0	1	4	26	0	1	0.03225806451612903	1	0	0	1	0	30	100.0	1	0	2	1	31	27	deferred	vlm_stop_accepted
669	1153	0	True	True	True	True		1500	27	0	8	29.62962962962963	1.0	0	9	0	4	6	8	0	4	0.14814814814814814	1	0	0	1	0	26	100.0	1	0	7	0	23	5	deferred	vlm_stop_accepted
670	1154	0	True	False	False	True		1700	68	0	49	72.05882352941177	0.7610155151972022	6	6	0	11	3	48	0	11	0.16176470588235295	1	0	0	1	0	67	100.0	1	0	9	7	68	50	deferred	vlm_stop_accepted
367	602	0	True	True	True	True		1925	46	0	13	28.26086956521739	1.0	0	16	0	5	13	12	0	5	0.10869565217391304	1	0	0	1	0	45	100.0	0	1	15	10	46	19	deferred	vlm_stop_accepted
579	1006	0	True	True	True	True		2150	33	0	20	60.60606060606061	0.7976773940608838	1	7	0	5	1	20	0	5	0.15151515151515152	1	0	0	1	0	32	100.0	1	0	13	3	30	13	deferred	vlm_stop_accepted
484	827	0	True	True	True	True		1550	45	0	5	11.11111111111111	1.0	0	6	30	3	1	5	0	3	0.06666666666666667	30	0	29	1	0	15	3.3333333333333335	0	1	7	0	11	5	deferred	vlm_stop_accepted
5	9	0	True	False	False	True		1775	50	0	9	18.0	1.0	1	14	27	0	0	9	0	0	0.0	1	0	0	1	0	49	100.0	1	0	1	0	50	14	deferred	vlm_stop_accepted
