frame_index,step,phase,hint,vlm_action,vlm_action_raw,arbitration,terminal_state,distance_to_start
0,0,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.009
1,5,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.018
2,10,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.046
3,15,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.083
4,20,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.121
5,25,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.167
6,30,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.208
7,35,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.245
8,40,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.283
9,45,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.328
10,50,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.372
11,55,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.417
12,60,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.466
13,65,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.512
14,70,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.556
15,75,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.598
16,80,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.638
17,85,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.686
18,90,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.730
19,95,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.775
20,100,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.817
21,105,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.856
22,110,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.896
23,115,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.941
24,120,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.986
25,125,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.030
26,130,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.071
27,135,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.109
28,140,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.157
29,145,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.202
30,150,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.246
31,155,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.288
32,160,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.329
33,165,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.369
34,170,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.414
35,175,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.454
36,180,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.490
37,185,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.529
38,190,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.574
39,195,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.616
40,200,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.666
41,205,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.708
42,210,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.751
43,215,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.795
44,220,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.834
45,225,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.875
46,230,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.919
47,235,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.961
48,240,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.005
49,245,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.050
50,250,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.092
51,255,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.137
52,260,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.186
53,265,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.231
54,270,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.272
55,275,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.312
56,280,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.349
57,285,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.395
58,290,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.439
59,295,outbound,,VLM: forward,The next action is move forward 75 cm.,,,2.481
60,300,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,2.517
61,305,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,2.540
62,310,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,2.543
63,315,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,2.545
64,320,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,2.551
65,325,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,2.554
66,330,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,2.559
67,335,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,2.566
68,340,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,2.570
69,345,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,2.575
70,350,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,2.581
71,355,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,2.588
72,360,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,2.595
73,365,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,2.601
74,370,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,2.606
