frame_index,step,phase,hint,vlm_action,vlm_action_raw,arbitration,terminal_state,distance_to_start
0,0,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.024
1,5,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.024
2,10,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.024
3,15,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.028
4,20,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.035
5,25,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.042
6,30,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.047
7,35,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.052
8,40,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.056
9,45,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.060
10,50,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.067
11,55,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.074
12,60,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.079
13,65,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.082
14,70,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.086
15,75,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.092
16,80,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.099
17,85,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.106
18,90,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.111
19,95,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.117
20,100,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.124
21,105,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.129
22,110,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.131
23,115,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.131
24,120,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.134
25,125,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.139
26,130,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.144
