frame_index,step,phase,hint,vlm_action,vlm_action_raw,arbitration,terminal_state,distance_to_start
0,0,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.028
1,5,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.026
2,10,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.022
3,15,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.021
4,20,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.022
5,25,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.027
6,30,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.033
7,35,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.038
8,40,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.041
9,45,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.043
10,50,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.047
11,55,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.053
12,60,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.060
13,65,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.066
14,70,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.070
15,75,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.072
16,80,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.075
17,85,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.082
18,90,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.088
19,95,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.095
20,100,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.101
21,105,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.104
22,110,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.106
23,115,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.111
24,120,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.118
25,125,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.125
26,130,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.132
27,135,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.136
28,140,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.139
29,145,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.141
30,150,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.147
31,155,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.154
32,160,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.161
33,165,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.166
34,170,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.170
35,175,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.171
36,180,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.178
37,185,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.201
38,190,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.229
39,195,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.259
40,200,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.296
41,205,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.332
42,210,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.367
43,215,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.405
44,220,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.443
45,225,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.478
46,230,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.514
47,235,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.556
48,240,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.598
49,245,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.637
50,250,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.679
51,255,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.718
52,260,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.757
53,265,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.801
54,270,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.844
55,275,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.883
56,280,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.927
57,285,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.969
58,290,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.010
59,295,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.051
60,300,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.092
61,305,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.129
62,310,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.171
63,315,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.210
64,320,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.247
65,325,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.285
66,330,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.326
67,335,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.366
68,340,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.403
69,345,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.445
70,350,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.482
71,355,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.518
72,360,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.557
73,365,outbound,,VLM: forward,The next action is move forward 75 cm.,,,1.598
