ep	scene	matched_wp	verdict	true_final_d2s	true_min_d2s	ret_stop_d2s	believed_end	track_err	stop_decision	wedge_pct	arb_override	lowconf_gates	root_cause
4	x8F5xyUWy9e	5	SUCCESS	1.47	1.47	1.48	2.81	-1.34	forced@d2.8/c0.20	1	1	7	ok
5	x8F5xyUWy9e	5	FAIL	9.47	9.44	none	12.51	-3.04	pass@d12.5/c0.58	68	1	146	physical wedge (cmd fwd, speed~0)
88	EU6Fwq7SyZv	5	SUCCESS	2.77	2.28	2.77	2.93	-0.17	forced@d2.9/c0.77	7	4	19	ok
89	EU6Fwq7SyZv	5	SUCCESS	2.76	2.15	2.76	2.58	0.18	forced@d2.6/c0.76	0	1	21	ok
134	2azQ1b91cZZ	7	FAIL	7.15	6.92	none	3.19	3.96	pass@d3.2/c0.69	6	1	141	reloc-conf collapse / never navigated home
187	EU6Fwq7SyZv	6	FAIL	8.26	8.19	none	4.62	3.64	pass@d4.6/c0.20	73	1	31	physical wedge (cmd fwd, speed~0)
367	X7HyMhZNoso	7	NEAR-MISS	3.08	3.08	3.09	6.53	-3.45	deferred@d6.5/c0.20	0	4	39	near-miss (~3.1m)
368	X7HyMhZNoso	7	SUCCESS	1.33	1.33	1.34	4.23	-2.90	deferred@d4.2/c0.20	1	2	18	ok
491	X7HyMhZNoso	6	FAIL	6.70	3.71	none	10.25	-3.55	pass@d10.2/c0.80	1	1	82	reloc-conf collapse / never navigated home
500	zsNo4HB9uLZ	4	SUCCESS	2.82	2.82	2.82	2.82	-0.00	forced@d2.8/c0.20	0	2	5	ok
589	QUCTc6BB5sX	5	SUCCESS	2.43	2.43	2.44	2.99	-0.55	forced@d3.0/c1.00	0	5	12	ok
647	x8F5xyUWy9e	4	SUCCESS	1.50	1.50	1.50	2.67	-1.18	forced@d2.7/c0.47	0	1	3	ok
669	X7HyMhZNoso	5	FAIL	4.60	3.00	4.60	1.42	3.18	forced@d1.4/c0.74	0	6	19	confidently-wrong false-stop (believed<<true)
678	zsNo4HB9uLZ	7	FAIL	11.30	6.76	11.29	11.01	0.28	deferred@d11.0/c0.20	0	10	21	reloc-conf collapse / never navigated home
680	zsNo4HB9uLZ	7	SUCCESS	1.45	1.45	1.46	8.90	-7.45	deferred@d8.9/c0.20	0	4	13	ok
708	QUCTc6BB5sX	5	SUCCESS	0.24	0.00	0.23	4.97	-4.73	deferred@d5.0/c0.20	0	6	23	ok
813	x8F5xyUWy9e	4	REACHED-NOSTOP	0.31	0.25	none	7.97	-7.66	pass@d8.0/c0.20	57	2	31	ok
1038	X7HyMhZNoso	7	SUCCESS	0.82	0.82	0.83	4.25	-3.43	deferred@d4.3/c0.20	1	0	28	ok
1040	X7HyMhZNoso	7	SUCCESS	2.54	2.54	2.54	2.55	-0.01	forced@d2.5/c0.79	0	0	10	ok
