episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start
579	1006	2azQ1b91cZZ	93	139	5	0.000000	13.760632
448	755	EU6Fwq7SyZv	186	280	6	0.507529	10.951861
691	1181	QUCTc6BB5sX	396	664	5	0.000000	15.344674
539	930	TbHJrupSAjP	198	307	7	1.519046	7.633810
688	1178	X7HyMhZNoso	783	1336	4	0.000000	5.328553
356	585	x8F5xyUWy9e	3	7	5	0.083086	9.844459
987	1684	zsNo4HB9uLZ	264	418	5	0.000000	12.920041
931	1580	2azQ1b91cZZ	1062	1801	5	0.278728	8.173361
186	280	EU6Fwq7SyZv	447	754	6	0.433051	12.342171
387	646	QUCTc6BB5sX	129	190	5	0.211125	10.773560
199	308	TbHJrupSAjP	537	928	7	1.519046	8.065011
366	601	X7HyMhZNoso	1038	1759	7	0.000000	9.774121
385	641	x8F5xyUWy9e	645	1117	4	0.763060	7.779496
264	418	zsNo4HB9uLZ	639	1108	6	0.000000	12.458867
427	719	2azQ1b91cZZ	756	1288	5	0.853292	5.156441
762	1303	EU6Fwq7SyZv	186	280	5	0.646492	7.364452
125	177	QUCTc6BB5sX	465	793	5	0.000000	6.969550
324	523	TbHJrupSAjP	615	1075	4	1.103096	10.186831
784	1337	X7HyMhZNoso	687	1177	4	0.960138	7.768569
952	1634	x8F5xyUWy9e	813	1378	4	0.183353	6.791283
420	712	zsNo4HB9uLZ	612	1069	7	0.225539	14.089020
93	139	2azQ1b91cZZ	579	1006	5	0.000000	13.368412
188	282	EU6Fwq7SyZv	447	754	6	0.433051	12.342171
690	1180	QUCTc6BB5sX	396	664	5	0.000000	15.344674
962	1644	TbHJrupSAjP	291	472	4	0.315807	6.949306
687	1177	X7HyMhZNoso	783	1336	4	0.000000	5.328553
646	1118	x8F5xyUWy9e	354	583	4	0.475011	8.570651
100	146	zsNo4HB9uLZ	57	85	4	1.650995	7.243782
1062	1801	2azQ1b91cZZ	930	1579	5	0.278728	9.902829
888	1516	EU6Fwq7SyZv	276	442	4	1.213044	8.710791
672	1156	QUCTc6BB5sX	636	1105	4	0.000000	15.420102
586	1019	TbHJrupSAjP	255	406	6	0.000000	7.882555
383	636	X7HyMhZNoso	342	562	4	0.498710	11.257412
814	1379	x8F5xyUWy9e	951	1633	4	0.830905	5.487870
333	544	zsNo4HB9uLZ	234	367	5	1.410782	4.606462
581	1008	2azQ1b91cZZ	93	139	5	0.000000	13.760632
278	444	EU6Fwq7SyZv	888	1516	4	0.261469	11.290769
657	1138	QUCTc6BB5sX	660	1141	5	0.000000	7.587837
972	1654	TbHJrupSAjP	615	1075	6	0.567721	9.803279
682	1169	X7HyMhZNoso	366	601	6	0.190970	8.268333
815	1380	x8F5xyUWy9e	951	1633	4	0.830905	5.487870
1069	1808	zsNo4HB9uLZ	264	418	6	0.300820	15.506035
61	89	2azQ1b91cZZ	114	160	6	0.000000	9.720929
247	389	EU6Fwq7SyZv	186	280	5	0.648125	7.706804
123	175	QUCTc6BB5sX	465	793	5	0.000000	6.969550
999	1708	TbHJrupSAjP	666	1150	5	0.888479	9.792063
490	854	X7HyMhZNoso	1038	1759	6	0.190970	8.881821
18	31	x8F5xyUWy9e	135	199	4	1.070148	6.361872
865	1475	zsNo4HB9uLZ	1011	1720	5	0.000000	7.123378
205	314	2azQ1b91cZZ	807	1372	4	1.551582	9.997160
764	1305	EU6Fwq7SyZv	186	280	5	0.646492	7.364452
351	577	QUCTc6BB5sX	105	151	5	0.000000	14.125214
1057	1790	TbHJrupSAjP	615	1075	4	0.712032	8.238368
671	1155	X7HyMhZNoso	681	1168	5	0.000000	6.450071
3	7	x8F5xyUWy9e	354	583	5	0.000000	10.452264
622	1085	zsNo4HB9uLZ	771	1321	4	0.444923	3.849664
114	160	2azQ1b91cZZ	60	88	6	0.000000	9.720928
449	756	EU6Fwq7SyZv	186	280	6	0.507529	10.951861
715	1208	QUCTc6BB5sX	573	994	6	0.330142	10.395467
979	1661	TbHJrupSAjP	225	358	4	0.000000	8.387850
489	853	X7HyMhZNoso	1038	1759	6	0.190970	8.881821
645	1117	x8F5xyUWy9e	354	583	4	0.475011	8.570651
654	1135	zsNo4HB9uLZ	984	1681	6	0.000000	9.979244
95	141	2azQ1b91cZZ	579	1006	5	0.000000	13.368412
87	127	EU6Fwq7SyZv	288	460	5	1.348777	4.614529
716	1209	QUCTc6BB5sX	573	994	6	0.330142	10.395467
615	1075	TbHJrupSAjP	972	1654	6	0.567721	9.794804
681	1168	X7HyMhZNoso	366	601	6	0.190970	8.268333
19	32	x8F5xyUWy9e	135	199	4	1.070148	6.361872
196	302	zsNo4HB9uLZ	771	1321	6	0.296615	8.340226
808	1373	2azQ1b91cZZ	204	313	4	1.551582	4.972446
890	1518	EU6Fwq7SyZv	276	442	4	1.213044	8.710791
310	500	QUCTc6BB5sX	792	1351	5	0.368796	9.363973
413	699	TbHJrupSAjP	537	928	5	1.591335	6.122639
683	1170	X7HyMhZNoso	366	601	6	0.190970	8.268333
355	584	x8F5xyUWy9e	3	7	5	0.083086	9.844459
613	1070	zsNo4HB9uLZ	678	1165	7	0.000000	13.365565
429	721	2azQ1b91cZZ	318	511	4	0.000000	4.754436
288	460	EU6Fwq7SyZv	87	127	5	1.348777	4.702715
28	50	QUCTc6BB5sX	237	379	5	0.347772	14.054313
668	1152	TbHJrupSAjP	936	1600	5	1.683526	12.370425
689	1179	X7HyMhZNoso	783	1336	4	0.000000	5.328553
384	640	x8F5xyUWy9e	645	1117	4	0.763060	7.779496
844	1439	zsNo4HB9uLZ	882	1501	5	0.000000	6.517529
698	1191	2azQ1b91cZZ	120	166	5	0.333557	10.228483
246	388	EU6Fwq7SyZv	186	280	5	0.648125	7.706804
369	607	QUCTc6BB5sX	213	334	5	0.000000	9.102075
748	1280	TbHJrupSAjP	225	358	5	0.313656	10.962906
344	564	X7HyMhZNoso	381	634	4	0.677694	10.897293
951	1633	x8F5xyUWy9e	813	1378	4	0.183353	6.791283
484	827	zsNo4HB9uLZ	810	1375	4	0.000000	7.025259
929	1575	2azQ1b91cZZ	111	157	5	1.022231	7.060491
763	1304	EU6Fwq7SyZv	186	280	5	0.646492	7.364452
502	875	QUCTc6BB5sX	213	334	6	0.000000	11.810803
961	1643	TbHJrupSAjP	291	472	4	0.315807	6.949306
785	1338	X7HyMhZNoso	687	1177	4	0.960138	7.768569
45	73	zsNo4HB9uLZ	30	52	5	0.000000	7.302546
428	720	2azQ1b91cZZ	756	1288	5	0.853292	5.156441
276	442	EU6Fwq7SyZv	888	1516	4	0.261469	11.290769
658	1139	QUCTc6BB5sX	660	1141	5	0.000000	7.587837
