episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	length_band	cohort_role	geometry_sha256
670	1154	X7HyMhZNoso	681	1168	5	0.000000	3.276791	boundary	replication_only	5d4dc3994c1c333a0ad3f7b27d1307059de7fdb9a1a597c866fd62ff17529139
94	140	2azQ1b91cZZ	579	1006	5	0.000000	12.941608	long	fresh_validation	820bb95a986b029e1f28410352c96e970df57dfc9dc3596f75fd528ef300e31a
185	279	2azQ1b91cZZ	738	1264	6	0.000000	12.530632	long	fresh_validation	63a833bdca0fd0165bc20f4cb198ece34052d6dd2bebac6aef1ff4be7b3d5900
1037	1758	2azQ1b91cZZ	492	859	5	0.416649	12.094039	long	fresh_validation	9cd3b1bb88f0d9179bfc1e6c287004a9de084c8daa7331f983c9f878784aafbb
479	810	2azQ1b91cZZ	816	1381	5	0.918991	6.531766	medium	fresh_validation	0cd6e162b7caf42988a4c6e7da154856793b4e5ca09394e99392c308b9363ee9
555	958	2azQ1b91cZZ	177	262	5	0.151484	6.689221	medium	fresh_validation	9b5a3e5234ef36be3342aee0e382647078ea76e1d1a665389ba9b26bd7171ce0
757	1289	2azQ1b91cZZ	132	193	7	0.258287	9.715021	medium	fresh_validation	e8a61cb9f24457915bc97ac0aefeb7dec24d7cd6a58a4568ca021433c957e3b4
61	89	2azQ1b91cZZ	114	160	6	0.000000	5.894912	short	fresh_validation	32b3afda07d316ebd479b981782ebde81978b329d0ea1fce64c5ae4715a82606
122	168	2azQ1b91cZZ	696	1189	5	0.333557	5.982823	short	fresh_validation	a1e0393f2bc7869746b22a35a503223602d147deddfd6692f0faf1e65885284a
426	718	2azQ1b91cZZ	756	1288	5	0.853292	4.718741	short	fresh_validation	86ccc1f91f2bc64353af512b0399ca4ad0708fbc31388f43d4f45a6df6500273
476	807	2azQ1b91cZZ	144	214	4	1.355172	5.492750	short	fresh_validation	d47f36eff6c53868adfc0e162e9baf6255a115ba0d230fe612fc88d49cb227c1
106	152	QUCTc6BB5sX	993	1699	7	0.000000	12.657521	long	fresh_validation	a81b7fab02803b8b55d7472cc109a84105a14099ec8ffedc2852f1bf823785bc
353	579	QUCTc6BB5sX	105	151	5	0.000000	11.832883	long	fresh_validation	bc3b2b1185afb4ef214eaa15bf7cde14877769c3c59ff73befe9c4e2ae338d74
