episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	length_band	cohort_role	geometry_sha256
319	512	2azQ1b91cZZ	429	721	4	0.000000	5.539629	medium	training_development	c7bd867523c6fa032fc77d56ba54724f957e7077817ad93efe2d5fade715564f
696	1189	2azQ1b91cZZ	120	166	5	0.333557	10.348068	long	training_development	bbca44a6fc0797a1afe806a67f49762d2d45e4b067838ffb78836550d9391ca0
555	958	2azQ1b91cZZ	177	262	5	0.151484	7.823619	medium	training_development	9b5a3e5234ef36be3342aee0e382647078ea76e1d1a665389ba9b26bd7171ce0
479	810	2azQ1b91cZZ	816	1381	5	0.918991	7.632172	medium	training_development	0cd6e162b7caf42988a4c6e7da154856793b4e5ca09394e99392c308b9363ee9
288	460	EU6Fwq7SyZv	87	127	5	1.348777	5.372339	medium	training_development	331923989b6defb8b8785d7781c90b305e974839aca2d3e6bdc39b5f43c58fe4
1008	1717	QUCTc6BB5sX	642	1114	5	0.000000	11.378945	long	training_development	0d3ffaa9d01fb735827ac6315d5ab8b63706681a35f8f6b83c349f898c3f1f61
123	175	QUCTc6BB5sX	465	793	5	0.000000	7.752261	medium	training_development	d3a0fa89ee8069d5dd8304150eca6186f6d6aa4c94d2ef00f75cae3a4763dcf8
1016	1725	QUCTc6BB5sX	387	646	5	1.097586	13.372365	long	training_development	c0275c220abf5a6e0720712c7670b43d80b3b1a14b9847b3752ab66c5ba4be50
470	798	QUCTc6BB5sX	546	943	5	0.662972	10.232210	long	training_development	3c7def0f78bcd5167741797792bdab3b6ee330657d7ae1034dc3bd923aa55a70
324	523	TbHJrupSAjP	615	1075	4	1.103096	10.936766	long	training_development	feb8a0dfbfca2132b62253ae4d58a9f9a3471a0d91ba849a51eee8f1026960e6
806	1368	TbHJrupSAjP	966	1648	5	0.702683	8.977993	medium	training_development	78bcbee8ea7d36164ab4f6266428cae6f9f3d27a15850ef87996a918dc09d96f
829	1406	TbHJrupSAjP	225	358	5	0.000000	8.322788	medium	training_development	310c2164205535c570ae63d53df9aa2a4d88441b20fddd3dc735548e84ebc8fb
979	1661	TbHJrupSAjP	225	358	4	0.000000	8.169785	medium	training_development	09e3ec312b11e84381e67338e3a98eab23599d228649f21128db22424f41fdab
344	564	X7HyMhZNoso	381	634	4	0.677694	11.143211	long	training_development	36984cdae0e1d56afa012c29adf1af031d521b8ed248a301f69276e2b325004f
784	1337	X7HyMhZNoso	687	1177	4	0.960138	7.972808	medium	training_development	bab44b40cc3acd986f103c34c4974eae339a717cb039b331ba3683ab62e6dfe9
382	635	X7HyMhZNoso	342	562	4	0.498710	12.449941	long	training_development	128feedf693146a63e04f9bbb9cab440569bfe71d85debed5b476568d2ef1b9f
653	1134	Z6MFQCViBuw	336	547	4	0.000000	13.061180	long	training_development	2e19faa8cf48b1159ed4b6653d65c2055c08fe3fa9efcf87886468d65a0af5cb
336	547	Z6MFQCViBuw	651	1132	4	0.000000	11.666447	long	training_development	62833e84ec085202e0e5564f68a279043c564189f7d1892842585dbfca879208
408	682	oLBMNvg9in8	522	907	4	0.760731	8.281551	medium	training_development	e48f5ecb941be826df09a10164f7fa4fb90102895ba99507089fc4b7e889dd37
136	200	x8F5xyUWy9e	18	31	4	0.000000	6.628765	medium	training_development	544f3b53cf722d1fc9cf7cc13b9634017a4f6fb53955269ef5ac3e1def679d9e
168	253	zsNo4HB9uLZ	165	250	4	0.000000	12.973311	long	training_development	20b3f137b435daece3f5e3dda3d858c003e3d3840021459b7c2d47ac0e9d5623
86	126	zsNo4HB9uLZ	942	1612	5	0.215112	12.411028	long	training_development	61dcde2a1ab55a465fd0924f8a46fe4f3ab3415d373a3e037e9329f6c7b2a7e4
656	1137	zsNo4HB9uLZ	984	1681	6	0.000000	10.837272	long	training_development	fd71b8afea973c7097cae9142dff86aa18d594f520ef2d66146e64c0c9afe810
517	899	zsNo4HB9uLZ	726	1240	4	0.684778	7.519623	medium	training_development	e5eeec04bfc3d425bf50a95c4cff98cb3e2e78ff026318f49242b6f4340bb99e
