episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	length_band	cohort_role	geometry_sha256
368	603	X7HyMhZNoso	1038	1759	7	0.000000	6.916351	medium	return_training_development	60aaf3e184d471fcf97bd8bc3eee29b0c806c0de242eb447e9d05fec2b673094
87	127	EU6Fwq7SyZv	288	460	5	1.348777	4.614529	short	return_training_development	c13397140995e62c513fc9ef04888c75d02d7b03f9270f7956373c7d8477ea20
88	128	EU6Fwq7SyZv	288	460	5	1.348777	2.292637	short	return_training_development	c13397140995e62c513fc9ef04888c75d02d7b03f9270f7956373c7d8477ea20
134	195	2azQ1b91cZZ	756	1288	7	0.258000	8.337229	medium	return_training_development	940f7a63fdecc9e8f02d4ffcab96a532daf6a6627174e579683e15430f8e01b4
310	500	QUCTc6BB5sX	792	1351	5	0.368796	9.363973	medium	return_training_development	69ceaae749785e0af6f912422403c388919dbee21f6f30ea1fc531faa5bb9460
678	1165	zsNo4HB9uLZ	612	1069	7	0.000000	12.981381	long	return_training_development	8df647a79f5b63fca94b7d8ac971f45e6e5a4bd2ff7fe7192cd1e3eeceb7a297
4	8	x8F5xyUWy9e	354	583	5	0.000000	10.248705	long	return_training_development	db375dfa1cc089ff9a6fd2810a365c91b00f902c54c05ae4810925dffd99d179
187	281	EU6Fwq7SyZv	447	754	6	0.433000	10.897436	long	return_training_development	df08263954b16673476fd8dcbf762c613a0b3b34e41c1b735f9b85d3e7295837
994	1700	QUCTc6BB5sX	105	151	7	0.000000	12.657429	long	return_training_development	47366490a517ddd49eb47a84fd73d8550af9131cd38ca9d10525750918322d77
680	1167	zsNo4HB9uLZ	612	1069	7	0.000000	12.981381	long	return_training_development	8df647a79f5b63fca94b7d8ac971f45e6e5a4bd2ff7fe7192cd1e3eeceb7a297
579	1006	2azQ1b91cZZ	93	139	5	0.000000	13.760632	long	return_training_development	4785d0503380e3a21b093f2f4cf1397aee2c08b1bf395b259c516804b60cd184
539	930	TbHJrupSAjP	198	307	7	1.519046	7.633810	medium	return_training_development	c367ef8067f8bc0e4db1f2314c03ea93b245e1d545d2857a2ff282fa2ee213c0
367	602	X7HyMhZNoso	1038	1759	7	0.000000	6.916351	medium	return_training_development	60aaf3e184d471fcf97bd8bc3eee29b0c806c0de242eb447e9d05fec2b673094
5	9	x8F5xyUWy9e	354	583	5	0.000000	10.248705	long	return_training_development	db375dfa1cc089ff9a6fd2810a365c91b00f902c54c05ae4810925dffd99d179
89	129	EU6Fwq7SyZv	288	460	5	1.349000	2.292637	short	return_training_development	c13397140995e62c513fc9ef04888c75d02d7b03f9270f7956373c7d8477ea20
351	577	QUCTc6BB5sX	105	151	5	0.000000	14.125214	long	return_training_development	bc3b2b1185afb4ef214eaa15bf7cde14877769c3c59ff73befe9c4e2ae338d74
264	418	zsNo4HB9uLZ	639	1108	6	0.000000	12.458867	long	return_training_development	a498dd351133543147cbd5a70ef166cb1d75a18fdeaea15e9183461e1150ea23
95	141	2azQ1b91cZZ	579	1006	5	0.000000	13.368412	long	return_training_development	820bb95a986b029e1f28410352c96e970df57dfc9dc3596f75fd528ef300e31a
962	1644	TbHJrupSAjP	291	472	4	0.315807	6.949306	medium	return_training_development	f534afbd75cf7d846031513069a00739a9493b60345a8249a92c189400fe8b3b
1040	1761	X7HyMhZNoso	366	601	7	0.000000	6.916351	medium	return_training_development	be8716eaf6bb51bad969d0280efe0a8165613bb3df58583e976ac1133623e26e
647	1119	x8F5xyUWy9e	354	583	4	0.475000	8.374983	medium	return_training_development	a556dd49ded52ff3a91dcf63f4c15d43a05fb964a7eeb8a4deeae8764f80db16
276	442	EU6Fwq7SyZv	888	1516	4	0.261469	11.290769	long	return_training_development	6d0e513bf300e8a41a2e2965ba85e320069b4b9bf49bff244153c05a6870862a
658	1139	QUCTc6BB5sX	660	1141	5	0.000000	7.587837	medium	return_training_development	ecf6a41a8ea10ab77fbf631f7ff23587223a9b7c63e74ca641d4dcdd8edb57de
484	827	zsNo4HB9uLZ	810	1375	4	0.000000	7.025259	medium	return_training_development	3d75a59a90aa9a6c8bc7ea5ff1b5decf71a46cf795915d1ebdc86d072a16c7c5
581	1008	2azQ1b91cZZ	93	139	5	0.000000	13.760632	long	return_training_development	4785d0503380e3a21b093f2f4cf1397aee2c08b1bf395b259c516804b60cd184
961	1643	TbHJrupSAjP	291	472	4	0.315807	6.949306	medium	return_training_development	f534afbd75cf7d846031513069a00739a9493b60345a8249a92c189400fe8b3b
1038	1759	X7HyMhZNoso	366	601	7	0.000000	6.916351	medium	return_training_development	be8716eaf6bb51bad969d0280efe0a8165613bb3df58583e976ac1133623e26e
646	1118	x8F5xyUWy9e	354	583	4	0.475011	8.570651	medium	return_training_development	a556dd49ded52ff3a91dcf63f4c15d43a05fb964a7eeb8a4deeae8764f80db16
764	1305	EU6Fwq7SyZv	186	280	5	0.646492	7.364452	medium	return_training_development	1988dd1e1124e995dcc996bf37a01c9ca6bdf3a7539845b772da95028679e119
268	422	QUCTc6BB5sX	435	739	6	0.000000	8.807060	medium	return_training_development	af54a63c65b2d0aa5de7ea8c288c613e1e1a63a2d3561cdfca90c78f70b74f0a
844	1439	zsNo4HB9uLZ	882	1501	5	0.000000	6.517529	medium	return_training_development	07e71c081c5b1cfce5c423072f28a185a17cd2398b52eefa713c4375ad93eff2
427	719	2azQ1b91cZZ	756	1288	5	0.853292	5.156441	medium	return_training_development	86ccc1f91f2bc64353af512b0399ca4ad0708fbc31388f43d4f45a6df6500273
688	1178	X7HyMhZNoso	783	1336	4	0.000000	5.328553	medium	return_training_development	fbc6bcd388fdf48593334f575b4a0c0871d1b07e5f6c58eea1c93ae27f450de2
815	1380	x8F5xyUWy9e	951	1633	4	0.830905	5.487870	medium	return_training_development	f2738f1a868c0022d95247cd6676512cf3e8bf5de94f787a25b783a45ad66604
888	1516	EU6Fwq7SyZv	276	442	4	1.213044	8.710791	medium	return_training_development	e53e429c9e43595b8137e95075cbde02db4e111b142ce4a80bc0bd4dd746a328
214	335	QUCTc6BB5sX	501	874	6	0.307000	10.043250	long	return_training_development	f048d53a67a2ba70286ce0953bdb931e91e921f4b0d908bc1a410173615ac2fb
500	870	zsNo4HB9uLZ	222	352	4	0.479000	7.425987	medium	return_training_development	73baea63603efae7040c9f8690bd0bdc03b1b8bb4431c23d02125d35ceaadf19
93	139	2azQ1b91cZZ	579	1006	5	0.000000	13.368412	long	return_training_development	820bb95a986b029e1f28410352c96e970df57dfc9dc3596f75fd528ef300e31a
671	1155	X7HyMhZNoso	681	1168	5	0.000000	6.450071	medium	return_training_development	5d4dc3994c1c333a0ad3f7b27d1307059de7fdb9a1a597c866fd62ff17529139
19	32	x8F5xyUWy9e	135	199	4	1.070148	6.361872	medium	return_training_development	937dc07b10e6ec39c2560067b72051b98fe58a155387c33c31377c211b0c064e
420	712	zsNo4HB9uLZ	612	1069	7	0.225539	14.089020	long	return_training_development	fcdca04f808f499fd31953e24161fc36ed40742ceaf0cb1fdcf66035e30fa98f
205	314	2azQ1b91cZZ	807	1372	4	1.551582	9.997160	medium	return_training_development	55b7ee95ca3c8fa4a2206e60a39292ea2f224d06535812de300dd70cb139b5ad
490	854	X7HyMhZNoso	1038	1759	6	0.190970	8.881821	medium	return_training_development	d769057e3f012f11ee73a1838662311a7f141d9e686c745d1101d6ca1f89d9cf
