episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	vlm_port	start_time	end_time	exit_code	result_suffix	vlm_log	eval_log	measurement_file	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal	trajectory_record_count	recovery_status	recovery_source	last_observed_step	last_observed_distance_to_start	recovery_note
806	1368	TbHJrupSAjP	966	1648	5	0.702683	8.977993	55127	2026-09-10T04:40:12+01:00	2026-09-10T05:21:59+01:00	0	path_following_geometry_m50_20260910_ep806	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep806_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep806_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep806/measurements/1367.json	True	False	False	3.612522840499878			corrupt_measurement_terminal_fields_recovered	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep806/measurements/1367.json			Terminal round_trip fields recovered verbatim; JSON remains corrupt: 439: unexpected token at '{
470	798	QUCTc6BB5sX	546	943	5	0.662972	10.232210	54791	2026-09-10T05:21:59+01:00	2026-09-10T05:24:34+01:00	0	path_following_geometry_m50_20260910_ep470	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep470_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep470_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep470/measurements/797.json	False	False	False	15.642770767211914	None	2502	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep470/measurements/797.json			""
646	1118	x8F5xyUWy9e	354	583	4	0.475011	8.570651	54967	2026-09-10T05:24:34+01:00	2026-09-10T05:32:55+01:00	0	path_following_geometry_m50_20260910_ep646	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep646_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep646_eval.log		True	False	False		1.9563441276550293		missing_measurement_outcome_recovered_from_log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep646_eval.log	1750	2.730	Success flags recovered from control flow. Outbound uses logged XY error against the batch 3.0 m success radius; no accepted return stop occurred. Last distance is telemetry, not necessarily the terminal distance.
889	1517	EU6Fwq7SyZv	276	442	4	1.213044	8.345141	55210	2026-09-10T05:32:55+01:00	2026-09-10T06:19:42+01:00	0	path_following_geometry_m50_20260910_ep889	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep889_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep889_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep889/measurements/1516.json	True	False	False	11.562360763549805	0.5996028780937195	6677	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep889/measurements/1516.json			""
517	899	zsNo4HB9uLZ	726	1240	4	0.684778	7.519623	54838	2026-09-10T06:19:43+01:00	2026-09-10T06:56:45+01:00	0	path_following_geometry_m50_20260910_ep517	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep517_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep517_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep517/measurements/898.json	True	False	False	2.893075942993164			corrupt_measurement_terminal_fields_recovered	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep517/measurements/898.json			Terminal round_trip fields recovered verbatim; JSON remains corrupt: 439: unexpected token at '{
95	141	2azQ1b91cZZ	579	1006	5	0.000000	13.368412	54416	2026-09-10T06:56:45+01:00	2026-09-10T07:43:57+01:00	0	path_following_geometry_m50_20260910_ep95	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep95_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep95_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep95/measurements/140.json	True	False	False	4.461406230926514	2.432007074356079	7352	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep95/measurements/140.json			""
324	523	TbHJrupSAjP	615	1075	4	1.103096	10.936766	54645	2026-09-10T07:43:57+01:00	2026-09-10T08:18:37+01:00	0	path_following_geometry_m50_20260910_ep324	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep324_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep324_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep324/measurements/522.json	True	False	False	8.48516845703125	1.8630645275115967	6902	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep324/measurements/522.json			""
961	1643	TbHJrupSAjP	291	472	4	0.315807	6.949306	55282	2026-09-10T08:18:37+01:00	2026-09-10T08:42:29+01:00	0	path_following_geometry_m50_20260910_ep961	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep961_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep961_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep961/measurements/1642.json	True	False	False	8.579174041748047			corrupt_measurement_terminal_fields_recovered	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep961/measurements/1642.json			"Terminal round_trip fields recovered verbatim; JSON remains corrupt: 439: unexpected token at '""scan_context_yaw_check"": {"
962	1644	TbHJrupSAjP	291	472	4	0.315807	6.949306	55283	2026-09-10T08:42:29+01:00	2026-09-10T09:28:59+01:00	0	path_following_geometry_m50_20260910_ep962	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep962_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep962_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep962/measurements/1643.json	True	False	False	8.054597854614258	0.689678430557251	6577	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep962/measurements/1643.json			""
844	1439	zsNo4HB9uLZ	882	1501	5	0.000000	6.517529	55165	2026-09-10T09:28:59+01:00	2026-09-10T09:34:51+01:00	0	path_following_geometry_m50_20260910_ep844	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep844_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep844_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep844/measurements/1438.json	True	True	True	2.397477149963379	1.567296028137207	2252	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep844/measurements/1438.json			""
