episode_idx	episode_id	baseline_outbound_success	baseline_return_success	baseline_round_trip_success	baseline_distance_to_start_m	route_memory_outbound_success	route_memory_return_success	route_memory_round_trip_success	route_memory_distance_to_start_m	distance_delta_m	outbound_stop_distance_to_goal_m	return_stop_count	outbound_anchor_count	return_anchor_count	hint_count	fallback_count	trajectory_file	measurement_file	result_suffix
4	7	True	False	False	10.151123046875	True	False	False	0.0	-10.151123046875	1.630487084388733	0	10	10	23	2	trajectories/ep4_output_7.jsonl	measurements/ep4_7.json	route_memory_relodom_20260626_ep4
5	8	True	False	False	8.5977783203125	True	False	False	8.859208106994629	0.2614297866821289	0.33998021483421326	0	12	12	72	16	trajectories/ep5_output_8.jsonl	measurements/ep5_8.json	route_memory_relodom_20260626_ep5
134	194	True	False	False	6.222945690155029	False	False	False	2.604630708694458	-3.6183149814605713		0	4	0	0	0	trajectories/ep134_output_194.jsonl	measurements/ep134_194.json	route_memory_relodom_20260626_ep134
187	280	True	False	False	11.8126859664917	True	False	False	8.819890022277832	-2.992795944213867	0.21772167086601257	0	17	17	102	18	trajectories/ep187_output_280.jsonl	measurements/ep187_280.json	route_memory_relodom_20260626_ep187
367	601	True	False	False	5.792527675628662	True	True	True	1.7646422386169434	-4.027885437011719	1.0334663391113281	1	11	11	32	2	trajectories/ep367_output_601.jsonl	measurements/ep367_601.json	route_memory_relodom_20260626_ep367
368	602	True	False	False	6.825916290283203	True	False	False	7.136859893798828	0.310943603515625	0.712832510471344	0	11	11	86	12	trajectories/ep368_output_602.jsonl	measurements/ep368_602.json	route_memory_relodom_20260626_ep368
408	681	True	False	False	6.883718967437744	False	False	False	2.125422239303589	-4.758296728134155		0	3	0	0	0	trajectories/ep408_output_681.jsonl	measurements/ep408_681.json	route_memory_relodom_20260626_ep408
678	1164	True	False	False	3.781534194946289	True	True	True	2.690601348876953	-1.090932846069336	0.5047591924667358	1	15	15	32	1	trajectories/ep678_output_1164.jsonl	measurements/ep678_1164.json	route_memory_relodom_20260626_ep678
680	1166	True	False	False	3.7099010944366455	True	True	True	1.9246150255203247	-1.7852860689163208	0.3795335590839386	1	15	15	32	1	trajectories/ep680_output_1166.jsonl	measurements/ep680_1166.json	route_memory_relodom_20260626_ep680
994	1699	True	False	False	4.521794319152832	True	False	False	4.741590976715088	0.21979665756225586	0.5589298605918884	1	15	15	27	1	trajectories/ep994_output_1699.jsonl	measurements/ep994_1699.json	route_memory_relodom_20260626_ep994
